artist,twitter,instagram,facebook,spotify,soundcloud,youtube
Migos,2187675,7015467,2490511,5148896,972338,5443605
Flatbush Zombies,298093,403004,547515,447460,559821,587427
Baauer,339312,107550,2025,117017,987414,25225
Brockhampton,257665,445507,80464,351839,39802,302009
SCH,1733,733,1035412,341255,0,1349053
Banks & Steelz,5086,5500,14851,19583,1385,9719
Anatii,705358,175194,201930,7131,5050,12676
CupcakKe,332586,410494,26073,147595,21175,366433
Nasty C,756057,1242079,538359,5722,25881,21109
Bankroll Mafia,452,0,0,95323,0,0
DRAM,123443,266891,147649,585251,167877,899854
Jared Evan,38037,30230,30064,7204,8736,12596
Chad,0,0,0,0,0,0
Moor Mother,4410,0,8436,3711,3378,0
Westside Gunn,19670,55515,11080,13636,14455,0
Grace,311548,2659619,1039213,715514,19453,2653554
6lack,456200,839246,303208,805720,266100,463168
Rebstar,0,0,0,539,0,0
Mick Jenkins,227181,191872,0,192267,0,94957
Jon Bellion,1495381,576097,210693,635733,193740,259232
Tory Lanez,1378606,2516709,733872,1259192,583770,1470537
Kevin Gates,4633,5776786,7623899,1560315,470028,3507298
Young Dolph,511706,2729146,350827,590515,76476,332353
Dame D.O.L.L.A.,0,0,0,49703,63843,0
Dareysteel,110,0,0,41,399,0
MHD,122416,0,0,528700,0,2243504
Mykki Blanco,39908,64049,84094,32999,30163,16714
Seth & Nirva,2034,8417,10280,3114,0,591
Young Check'a,0,0,0,0,0,0
Elliott Power,704,3165,167,1266,1067,439
A-Reece,497644,200853,92401,5288,0,0
Redfoo,1002856,603729,3796874,276676,89617,2260887
CDQ,0,909796,1686,2127,0,0
Post Malone,3521458,8856801,2078062,3644754,1038942,5962325
Isaiah Rashad,439938,410917,136942,354513,200138,0
Kembe X,15233,0,7007,10751,20916,5727
Tkay Maidza,13647,48573,48591,29797,21654,7147
Roy Woods,383959,1054706,59354,398268,263500,9797
Lil' Kleine,71841,1176462,151434,386454,984,0
ASAP Twelvyy,204440,303404,21112,74662,35650,0
XXXTentacion,989949,7475838,969457,3114324,2067836,4386206
Princess Nokia,0,545376,100688,129184,61,147777
Vic Mensa,560796,738575,298691,353913,270,215477
A Boogie wit da Hoodie,286596,2401952,278652,1484050,663292,1498544
A Boogie wit da Hoodie,286596,2401952,278652,1484050,663292,1498544
Smino,71452,0,28917,110238,86094,38161
Jidenna,127977,826187,348473,221961,23660,537931
J Hus,242868,532143,87031,215833,55252,238561
Lute,17891,25345,0,9561,0,0
Smokepurpp,245377,2253422,153620,644747,468521,228606
Rob $tone,46418,162620,22016,111327,86495,0
Syd,132422,400706,51675,150355,68143,0
Stormzy,1234015,1841358,731338,556115,114901,716431
Amine,200267,599,97449,529943,147977,845300
G Herbo,714324,2449278,242235,422850,182248,371687
21 Savage,2246173,7445482,1134519,3864308,789270,3332058
IDK,0,0,0,107,0,0
Kacy Hill,18808,73646,14806,39683,11429,16595
Lil Pump,916507,11360987,1575255,2712716,1018026,7114304
Mura Masa,60780,123052,156502,333950,329618,326277
J.I.D,70927,153755,37659,76073,51975,0
Cyhi the Prynce,149457,161083,50686,53054,22633,0
Nines,75876,0,22347,52437,0,56854
Kodak Black,1959318,5344157,0,2878570,999621,3335356
Playboi Carti,613368,2224626,0,1205067,444331,366873
Quality Control,0,0,19085,101549,0,619603
Mike Will Made It,748062,1723915,600312,505126,186586,1832646
Residente,5999107,2020674,1264795,8948,0,2346845
Jaden Smith,7763174,8632921,10582322,373024,0,829990
Danger,4687,9815,3339,21077,13555,0
Lil Yachty,4131372,5430780,570475,2856360,700362,998308
Shane Eagle,0,0,0,18,0,0
Rich Brian,1294988,1928963,655045,613941,291559,926492
Famous Dex,830821,3020084,412647,601988,197022,23193
Saweetie,0,0,0,0,0,0
Saweetie,80848,607384,11770,47901,39240,366463
Cardi B,2987228,23162441,5262160,2181259,187516,3089104
Kali Uchis,438044,887732,149766,322180,159106,285525
L.A.R.S.,0,0,0,5,0,0
Lil Skies,229743,1603908,0,543587,343551,0
Rich Homie Quan,1100315,3173860,1388883,1531796,103134,1211327
YoungBoy Never Broke Again,903822,0,0,816227,369474,2054789
Nipsey Hussle,736414,1844235,987541,308185,107092,0
Travis Barker,1631621,1994046,2279903,112608,80884,156882
Marlon Roudette,16473,11650,99876,77283,2555,75641
The Rubberbandits,172711,0,433259,12709,0,72819
Glory,6870,0,74556,42692,0,1287
Jovi,19471,0,45821,1591,0,147103
Elokuu,0,0,24122,53506,93,1831
Cro,0,0,0,0,0,0
Daveed Diggs,337054,458288,36323,11790,2146,0
Spekti,4673,0,28664,17721,0,0
Tuomas Kauhanen,5608,13909,10045,11872,0,21962
Colette Carr,171439,57027,127664,10807,1910,19248
Something Awful,0,0,0,121,0,0
Sensato del Patio,241209,570580,874124,2261,12924,145560
Azealia Banks,0,513079,721612,367039,1853071,191620
JUL,0,0,0,0,0,0
Dillon Francis,1059067,1940735,1544128,627156,6179866,1599651
Phyno,858094,2994769,481885,13182,0,128070
Neon Jungle,58817,43737,326414,67623,6514,264609
Justimus,85439,252149,81187,11366,0,120643
Emtee,585204,885793,881060,6000,0,0
DJ Hoppa,43832,89151,143528,5364,1677,0
Paperi T,1216,28832,21419,10266,89,0
From Ashes to New,102644,56633,178956,77201,3551,46287
DJ Snake,1373052,3742923,4814567,2616368,835859,6822662
Xu Weizhou,0,0,0,0,0,0
Hacktivist,10973,10367,103911,24476,3639,26106
Lil Peep,381239,2807243,670403,929128,735966,1577020
Powerflo,1498,15916,27425,6611,20,4783
Prophets of Rage,57407,159394,377705,169489,1930,44018
Mike Shinoda,1075095,1254972,1285111,188885,69628,293560
Maxo Kream,175720,206026,17396,95846,135727,0
Lil Xan,362386,3045115,444826,828856,320635,0
Rich the Kid,980135,3046776,283538,742312,348437,617947
Alexis Jordan,163515,47880,526717,64282,0,111644
Joe Jonas,10224840,6865289,5031924,397791,0,206152
Romeo Santos,4713477,12486935,34644947,4454566,0,9201065
Alyssa Reid,38732,12269,57296,38807,0,10939
Rebecca Ferguson,754885,52112,504013,169061,5539,96073
Nicole Scherzinger,5791690,3518239,7879018,725010,0,685629
Marsha Ambrosius,425747,337587,1218524,183248,13966,77279
Mohombi,87733,116468,1115174,232518,0,317705
Katy B,268615,128604,705128,129384,122327,118499
Jamie Grace,210407,282140,743556,143659,0,267017
Selah Sue,87338,61826,788892,320199,33056,210494
Six60,23691,83020,301825,114633,16463,58390
Patrick Stump,1036381,590690,271302,84126,0,83193
Wizkid,4090042,5034844,1875414,3229,16785,327149
V. Rose,32901,32568,55609,16766,642,7128
Jessie J,16585,1908,18640028,3833635,0,7319007
Jack Vidgen,46789,14598,211310,4070,0,0
Allen Stone,51419,87110,151898,132318,19096,101674
Ania Teliczan,0,0,0,0,0,0
Frank Ocean,18153,0,1692993,3197507,670915,347154
Conor Maynard,2010714,1803453,6440217,1141436,13032,7591987
XL,0,0,0,257,0,0
Little Mix,11828843,9190504,10132249,3762120,5961658,8483779
Bridgit Mendler,4821070,1461057,7450793,775057,4680,1772965
Chad Price,0,0,0,326,0,0
Ivy Quainoo,10601,3224,43813,13872,304,0
Jin Akanishi,677806,466316,2156,21606,0,77737
Maverick Sabre,176296,31928,122689,115167,17565,15303
Leon Thomas III,8640,0,0,9247,0,1648
Michael Lynche,0,0,0,526,0,0
Karise Eden,27481,12653,105545,17998,1806,13007
Luca Hanni,37993,157255,392598,12785,0,33998
Rita Ora,7003754,13361402,5839368,1971691,294944,1512448
Emeli Sande,1201606,402974,1738143,1283810,1990115,767165
Cody Simpson,8008945,3172140,6882501,876122,15868,951336
Elle Varner,166057,586411,1021181,173375,19495,115089
The Weeknd,9034084,31551,7382239,10193351,5939038,12810358
AlunaGeorge,106777,144381,305916,303548,5391279,212448
The Child of Lov,2033,0,7242,3741,1873,1563
Dami Im,53051,166873,219505,27364,0,7752
Jontte Valosaari,4738,13365,25818,4839,0,2541
James Arthur,2341398,627946,2098320,1819118,0,7430
John Wizards (musical group),1290,0,2258,367885,235,131475
E-girls,0,538974,0,134797,0,0
Hyolyn,0,0,0,15,0,0
James Skelly & The Intenders,11839,0,3421,710,0,0
Jessica Sanchez,1621436,298385,2047996,23317,0,465434
PJ Morton,142375,144685,95899,25352,7947,0
Mack Wilds,182625,544989,129715,30164,10389,29971
Inc. No World,4278,2604,16604,1773,1913,4289
Tiwa Savage,2225354,4559931,2061290,42550,0,91806
K. Michelle,1719573,5229279,4847208,612563,62466,741316
Laura Mvula,50360,52631,115939,89954,5208540,2542
Alex Hepburn,52380,26688,100492,18870,0,106744
Rhye,16666,9,188132,240711,229391,150892
Ariana Grande,56961780,118795537,33083192,13820650,221265,23035090
Zendaya,13650282,50426614,11246854,1726453,0,848451
Zara Larsson,1364355,4693898,1334324,2371025,45131,4309818
Tinashe,938061,2271075,2241895,927093,149765,1314617
Chet Faker,95354,211,923959,1005978,0,387218
Ashley Roberts,517831,248046,101924,1693,0,5425
Tessanne Chin,319221,198147,941572,13947,0,0
Traci Braxton,567899,543647,245156,5041,0,0
The Wah Wah Collective,0,0,0,62,0,0
Darren Espanto,319886,5164,1184897,135477,0,139302
Daley,56583,11,99827,54256,16746,142704
Tensnake,41268,16039,199077,45577,164785,5710
Erica Campbell,164203,1562117,1232784,53450,0,86595
Ludmilla,0,0,0,93,0,0
Hozier,680205,876781,1496821,2188386,106770,1823423
Sam Smith,7580838,9150218,6042532,5390393,1285934,7759789
Issues,264682,0,554701,221933,0,0
Yemi Alade,280398,3569733,1746150,50332,1860,524499
FKA Twigs,350206,1228495,390681,397281,227,330224
Sam Hunt,573558,2195785,1084884,1135411,26679,1082615
Candice Glover,127852,88818,346166,8451,720,0
Nadine Lustre,17424,4840899,2089308,85913,0,0
Isleym,47815,34884,240371,19846,0,0
PartyNextDoor,1488948,2302339,228795,1264317,1260549,625029
Sam Bailey,375708,25348,376876,32316,0,11160
Christon Gray,35608,49925,0,30364,5001,4306
SoMo,276534,254519,320699,459350,287396,1562737
Jhene Aiko,1596719,5834834,1695773,1564334,472550,1084181
Kiesza,103629,207276,571996,224920,66338,506520
Sohn,27584,27419,144473,191528,1945225,41581
Young & Sick,1233,14685,12931,8769,12699,0
Glass Animals,87889,182230,350173,713497,163545,333249
Willow,3676231,0,6905056,239731,6311,0
Andra Day,844494,211858,234951,188431,18772,412723
Leon Bridges,86984,257210,228056,493567,44523,176828
Kirby Maurier,0,0,0,224,0,0
Ella Eyre,439233,464284,343784,356069,5628898,316336
Tina Campbell,42458,519585,69570,5005,0,17950
Alessia Cara,1291628,2108772,866166,2920274,22682,2198288
Tyler Carter,213423,262887,255721,30188,15376,113837
Rixton,85,153334,510750,430632,3361,0
Sada K.,0,0,0,515,0,0
Kwabs,40827,30190,120574,108037,2,330579
Shamir,52494,33129,44374,50017,4947,0
Fifth Harmony,5353217,10586841,7737976,5014892,739401,11193064
Jarryd James,9883,14369,41032,87637,15530,53580
Joe Moore,4409,0,0,1062,0,0
Meghan Trainor,2260721,9227887,2823116,5135848,45,8956752
Rhiannon Giddens,15210,12130,66821,38912,0,12799
Tori Kelly,1335921,2966186,1562865,1280378,56182,2413388
Tyler Shaw,15385,19269,55360,11919,676,0
Nathaniel Willemse,66065,65530,98159,4675,0,12506
Lion Babe,24505,98633,61095,91689,45225,64195
Nao,69603,111204,85105,164505,96684,23486
Lance Skiiiwalker,22751,24849,0,14393,1314,0
Lapsley,27328,22808,66254,154703,44975,63902
Majid Jordan,307611,318121,129760,273950,229493,161314
Zayn,27377768,28336958,19971592,4117663,60681,6552234
Shila Amzah,1259595,2375992,442795,12710,4550,370830
JONES,4958,5585,9493,25000,12832,384
Gallant,90207,103146,107890,169428,107159,113184
Jack Garratt,77357,80075,140078,281524,52187,139282
Kilo Kish,40682,418,66593,49610,56514,9371
dvsn,104734,280717,49968,323491,143062,118969
Cana's Voice,0,0,0,672,0,0
Nathan Sykes,1697905,499536,366710,311112,5823,394748
Honne,69730,66264,105013,233563,88283,151870
Raleigh Ritchie,59312,241842,71147,101376,32201,97210
Cashmere Cat,130469,181121,209741,235681,400649,278320
Khalid,1977713,2777754,433364,1971605,253799,2272338
Amber Coffman,16019,11558,6225,8623,198,1613
SZA,2069050,4204856,433841,1426099,172008,889334
Sevyn Streeter,185906,1360539,1318190,457102,51222,661391
Gabriel Garzon-Montano,4041,12804,15472,38000,23806,2221
Jona Viray,219261,0,353854,57634,0,3206
Sampha,82234,168899,181551,280998,81014,69995
Ruth B,1335920,279104,62190,414500,10054,721627
Kehlani,473437,5469602,625578,1318013,557731,0
Kelela,183441,163231,97563,141194,68764,32538
Chloe x Halle,132300,6116,767194,62368,9671,918545
Jorja Smith,138441,901229,92416,291928,61533,206498
Poo Bear,109716,610914,21284,15498,32256,107884
Anne-Marie,358240,10138,393159,686636,32542,1580229
Andy Grammer,169278,297951,277515,457309,0,455610
Vintage Trouble,27555,28106,139881,76972,3415,37664
The Horrible Crowes,5556,0,33046,20793,48,95
Jamala,50,505894,116275,9440,8071,48499
Graham Alexander,0,0,0,246,0,0
Alex Clare,49080,12552,333402,610039,84047,235935
Clare Maguire,38178,32092,42136,17527,8043,13537
Zahara,63770,311280,770142,92112,0,8735
Charles Bradley,21925,46238,178221,206352,0,0
Tedeschi Trucks Band,91003,121451,513172,124850,4524,24277
SBTRKT,173113,48843,513487,487889,564963,0
The Stepkids,5880,0,14620,8078,3292,0
SuperHeavy,11355,0,111610,24725,0,6197
Willis Earl Beal,1685,0,0,17393,3674,9322
Natalie Duncan,2081,0,6168,2498,1502,1391
Jessie Ware,27,247134,359961,391405,821576,390903
Michael Kiwanuka,47111,44589,206974,406632,1371280,0
Cold Specks,4792,2461,19319,17419,3601,3829
Eve Ai,0,0,0,0,0,0
Ru Guo Ni Ai Wo ,0,0,0,0,0,0
Marcus Collins,660686,53789,153141,13062,0,0
Aiden Grimshaw,18821,0,96233,8520,3586,4536
Chantal Claret,35207,30800,13905,2681,316,7287
Jay James Picton,0,0,0,459,0,0
Ren Harvieu,6503,0,9115,4553,694,0
Leslie Clio,3507,10606,33880,38178,1471,0
Rudimental,590377,178811,899541,681127,918263,1015697
Wild Belle,17973,36859,103086,104731,21553,41189
The Lone Bellow,24007,49804,62154,49383,1801,9107
Tom Odell,252520,294403,715407,902653,770850,693392
