artist,album,single_count
Fly Union,TGTC (The Greater Than Club),4
Thees Uhlmann,Thees Uhlmann,2
Phinehas,Thegodmachine,3
The Groggers,There's No 'I' in Cherem,4
Dillon,This Silence Kills,0
Thompson Square,Thompson Square,4
Thyresis,Thyresis,0
Theophilus London,Timez Are Weird These Days,1
Brothers Reid,Top of the Old Road,0
Lucy Spraggan,Top Room at the Zoo,0
Marcelo Camelo,Toque Dela,1
Foster the People,Torches,5
SebastiAn,Total,3
Aaron Lewis,Town Line,1
Mr. Dream,TrashHit,3
Dynasty,Truer Living with a Youthful Vengeance,0
We Are Defiance,Trust in Few,3
Ulrik Munther,Ulrik Munther,4
Papa vs Pretty,United in Isolation,3
Unknown Mortal Orchestra,Unknown Mortal Orchestra,2
Snow Tha Product,Unorthodox,0
One Direction,Up All Night,4
V. Rose,V. Rose,0
Volumes,Via,0
Max B,Vigilante Season,0
Esben and the Witch,Violet Cries,3
After School,Virgin,3
Verbal,Visionair,3
Kimbra,Vows,6
The Sound of Arrows,Voyage,4
Warr Acres,Warr Acres,0
Swimming With Dolphins,Water Colours,0
Raleigh Moncrief,Watered Lawn,0
Wolfgang Gartner,Weekend in America,0
Hyland,Weights & Measures,0
Nero,Welcome Reality,8
Tim Bendzko,Wenn Worte meine Sprache wären,0
Chris Medina,What Are Words,0
Ashes Remain,What I've Become,7
Nothing Til Blood,When Lambs Become Lions,0
Jessie J,Who You Are,7
Widowspeak,Widowspeak,0
Wild Flag,Wild Flag,0
Lauren Alaina,Wildflower,3
A Winged Victory for the Sullen,A Winged Victory for the Sullen,0
Washed Out,Within and Without,0
Kimberly Caldwell,Without Regret,2
Thomas Ring Petersen,Wrong Side of the Daylight,2
Xavier and Ophelia,Xavier & Ophelia,0
Youth Lagoon,The Year of Hibernation,2
"SNO (Lil Wyte, JellyRoll, BPZ)",Year Round,4
Jack Vidgen,Yes I am,1
Charlie Simpson,Young Pilgrim,4
Young Statues,Young Statues,0
Yamantaka // Sonic Titan,YT//ST,0
Yuck,Yuck,6
Zoë Badwi,Zoë,5
Demy,#1,7
Mac DeMarco,2,0
Summer Heart,About a Feeling,1
Willis Earl Beal,Acousmatic Sorcery,0
RNDM,Acts,0
Alice Caymmi,Alice Caymmi,0
Titanium,All for You,6
Tremonti,All I Was,5
Dog Is Dead,All Our Favourite Stories,0
Allen Stone,Allen Stone,0
Howler,America Give Up,0
Dads,American Radass (This Is Important),0
The D.O.T.,And That,1
Ania Teliczan,Ania Teliczan,1
Pure Love,Anthems,4
Hammercult,Anthems of the Damned,0
Anywhere,Anywhere,2
California Wives,Art History,0
Secrets,The Ascent,4
Attaloss,ATTALOSS,1
Don Broco,Automatic,3
Koncept,Awaken,0
THEESatisfaction,awE naturalE,0
alt-J,An Awesome Wave,7
Primal Rock Rebellion,Awoken Broken,1
Adler,Back from the Dead,0
Caligola,Back to Earth,0
Cover Drive,Bajan Style,4
Alex Ferrari,Bará Berê,0
2 Chainz,Based on a T.R.U. Story,3
DeStorm Power hosted by DJ Whoo Kid,Be Careful,5
The 2 Bears,Be Strong,2
Liberteer,Better to Die on Your Feet Than Live on Your Knees,0
Matthew E. White,Big Inner,0
Chris Robinson Brotherhood,Big Moon Ritual,0
ClariS,Birthday,4
"Gary Clark, Jr.",Blak and Blu,2
Blank Banshee,Blank Banshee 0,0
Never A Hero,Bleed Between The Lies,2
The Dunwells,Blind Sighted Faith,0
Skyharbor,Blinding White Noise: Illusion & Chaos,0
Blondes,Blondes,3
Jack White,Blunderbuss,4
Reptar,Body Faucet,0
Main Attrakionz,Bossalinis & Fooliyones,0
Grand Supreme Blood Court,Bow Down Before the Blood Court,0
Chiddy Bang,Breakfast,2
The Gaslamp Killer,Breakthrough,0
Brendon Small,Brendon Small's Galaktikon,0
Steve Harris,British Lion,0
Scott Tixier,Brooklyn Bazaar,0
Emma Hewitt,Burn The Sky Down,5
Eskimo Callboy,Bury Me in Vegas,1
The Cadillac Three,The Cadillac Three,0
Wolves at the Gate,Captors,0
Delta Rae,Carry The Fire,0
Casey Abrams,Casey Abrams,2
Casey James,Casey James,3
Glory,Celebration,1
My Tiger My Timing,Celeste,4
Kalenna Harper,Chamber of Diaries,3
Frank Ocean,Channel Orange,5
Lawson,Chapman Square,6
Zedd,Clarity,5
Jam City,Classical Curves,0
Soen,Cognitive,0
The Collective,The Collective,2
Christopher,Colours,4
Rhett Walker Band,Come to the River,0
Altars,Conclusions,0
Forever Came Calling,Contender,0
Conor Maynard,Contrast,4
Hubert Wu,Couple Getaway,0
Smitz,Cretin Crossover,0
XL,Dance All Night,3
Half Moon Run,Dark Eyes,3
The Lucky Bullets,Dead Man's Shoes,1
Dead Sara,Dead Sara,4
Being as an Ocean,Dear G-d...,0
Martin Rossiter,The Defenestration of St Martin,0
Jamie Teachenor,The Departure,0
Desmadrados Soldados de Ventura,Desmadrados Soldados de Ventura,0
Dick Valentine,Destroy the Children,0
The Swearengens,Devil Gets Her Way,0
Natalie Duncan,Devil In Me,2
Jessie Ware,Devotion,6
Yotam Ben Horin,Distant Lover,4
Django Django,Django Django,0
Little Mix,DNA,4
Doll$Boxx,Dolls Apartment,0
Meek Mill,Dreams and Nightmares,4
Tal,Le droit de rêver,5
Toya Delazy,Due Drop,5
Dustin Lynch,Dustin Lynch,3
Ásgeir Trausti,Dýrð í dauðaþögn,5
An Epic No Less,Echo of Love,0
Edens Edge,Edens Edge,2
Labrinth,Electronic Earth,6
Eme 15,Eme 15,5
Devil Sold His Soul,Empire of Light,0
Spector,Enjoy It While It Lasts,6
Angellore,Errances,0
Romanthica,Eterno,0
I Am I,Event Horizon,0
Clayton Bellamy,Everyone's a Dreamer,3
Gatekeeper,Exo,0
Egoist,Extra terrestrial Biological Entities,2
Crown the Empire,The Fallout,2
Reflections,The Fantasy Effect,1
The Farm,The Farm,2
Loyal Wife,Faux Light,0
Fear and the Nervous System,Fear and the Nervous System,1
Travis Ryan,Fearless,0
The Hood Internet,FEAT,0
Blackburner,Feel the Burn,0
Tulisa,The Female Boss,3
Chief Keef,Finally Rich,3
Flume,Flume,3
Flying Colors,Flying Colors,0
Anwynn,Forbidden Songs,0
One Sonic Society,Forever Reign,0
Husky,Forever So,0
Forgetters,Forgetters,0
Benjamin Gibbard,Former Lives,0
Travis Porter,From Day 1,4
Delilah,From the Roots Up,5
David Lindgren,Get Started,1
Poliça,Give You the Ghost,0
Monuments,Gnosis,2
Rye Rye,Go! Pop! Bang!,3
Hands Like Houses,Ground Dweller,0
You Blew It!,"Grow Up, Dude",0
The Gypsy Queens,The Gypsy Queens,0
Jovi,H.I.V (Humanity is Vanishing),0
Elokuu,Hääväki saapuu,0
Rachael MacFarlane,Hayley Sings,0
Loreen,Heal,5
Bellarive,The Heartbeat,0
Macklemore & Ryan Lewis,The Heist,5
Bridgit Mendler,Hello My Name Is...,2
Gaz Coombes,Here Come the Bombs,5
Florida Georgia Line,Here's to the Good Times,5
The Jellyrox,Heta Himlen,0
Hiphop Tamizha,Hip Hop Tamizhan,0
