artist,album,single_count
The Knocks,55,12
Flatbush Zombies,3001: A Laced Odyssey,2
Baauer,Aa,3
Abbath,Abbath,3
Brockhampton,All-American Trash,0
Amanda Black,Amazulu,3
SCH,Anarchie,5
Neon Hitch,Anarchy,1
Anavitória,Anavitória,0
Fred Frith Trio,Another Day in Fucking Paradise,0
Banks & Steelz,Anything But Words,6
Anatii,ARTIIFACT,6
CupcakKe,Audacious,4
Nasty C,Bad Hair,1
Bankroll Mafia,Bankroll Mafia,2
Lion Babe,Begin,3
DRAM,Big Baby DRAM,4
Jared Evan,The Blanket Truth,4
Thomas Cohen,Bloom Forever,0
Blossoms,Blossoms,8
Kero Kero Bonito,Bonito Generation,6
Chad,The Book of Chad,4
Caper Clowns,The Buca Bus,0
Halo Circus,Bunny,0
Product of Hate,Buried in Violence,0
Swet Shop Boys,Cashmere,0
Zach Williams,Chain Breaker,3
Bradley Walsh,Chasing Dreams,0
Kygo,Cloud Nine,6
Coasts,Coasts,3
Barrie-James O'Neill,Cold Coffee,5
The Anchoress,Confessions of a Romance Novelist,0
Jamie Isaac,Couch Baby,0
Armageddon,Crossing the Rubicon (Revisited),0
From Ashes to New,Day One,4
John Tibbs,Dead Man Walking,0
Cait Brennan,Debutante,0
Client Liaison,Diplomatic Immunity,4
DNCE,DNCE,1
The Lemon Twigs,Do Hollywood,2
The Mute Gods,Do Nothing till You Hear from Me,0
Kyle Craft,Dolls of Highland,0
Wet,Don't You,0
Kiefer Sutherland,Down in a Hole,2
Amy Lee,Dream Too Much,0
Charles Kelley,The Driver,2
Dylan Scott,Dylan Scott,4
DJ Snake,Encore,4
Tom Ricci,Tom Ricci: Escape Into Life,2
Curt Anderson,Every Moment,0
Salvador Sobral,Excuse Me,2
Francis and the Lights,"Farewell, Starlite!",2
Jessica Sutta,Feline Resurrection,5
Moor Mother,Fetish Bones,0
Failure Anthem,First World Problems,2
Westside Gunn,Flygod,3
Grace,FMA,3
Nao,For All We Know,4
6lack,Free 6lack,2
Madeline Merlo,Free Soul,6
Zhu,Generationwhy,5
Rebstar,Girls Like Nicole,0
Consumed by Fire,Giving Over,0
Whores,Gold.,0
Meghan Patrick,Grace & Grit,4
Mick Jenkins,The Healing Component,2
Maren Morris,Hero,4
Bölzer,Hero,0
Thom Sonny Green,High Anxiety,0
DMA's,Hills End,6
Anohni,Hopelessness,2
Mako,Hourglass,4
Okilly Dokilly,Howdilly Doodilly,1
Jon Bellion,The Human Condition,2
Nick Fradiani,Hurricane,2
Rival Choir,"I Believe, Help My Unbelief",0
Tory Lanez,I Told You,2
Against The Current,In Our Bones,4
Entheos,The Infinite Nothing,0
Safia,Internal,4
Lance Skiiiwalker,Introverted Intuition,2
Kevin Gates,Islah,4
Alex Cameron,Jumping the Shark,0
Kane Brown,Kane Brown,4
Young Dolph,King of Memphis,1
Knocked Loose,Laugh Tracks,0
Kungs,Layers,4
Hinds,Leave Me Alone,0
Dame D.O.L.L.A.,The Letter O,0
Tyson Motsenbocker,Letters to Lost Loves,0
Lewis Del Mar,Lewis Del Mar,0
Lacey Sturm,Life Screams,5
I Prevail,Lifelines,4
Xu Weizhou,Light,5
Whitney,Light Upon the Lake,3
All Tvvins,llVV,5
Låpsley,Long Way Home,6
Majid Jordan,Majid Jordan,7
Dareysteel,Man of the Year,0
MHD,MHD,3
Margo Price,Midwest Farmer's Daughter,2
Zayn,Mind of Mine,3
Izzy Bizu,A Moment of Madness,7
Peewee Longway,Mr. Blue Benjamin,2
Shila Amzah,My Journey,3
Mykki Blanco,Mykki,3
Seth & Nirva,Never Alone,0
Stitched Up Heart,Never Alone,3
Public Access T.V.,Never Enough,0
Young Check'a,Never Seen,2
Kel Valhaal,New Introductory Lectures on the System of Transcendental Qabala,2
CRX,New Skin,2
JONES,New Skin,4
Head Wound City,A New Wave of Violence,0
Charlie Puth,Nine Track Mind,3
Mi-Sex,Not from Here,1
Shura,Nothing's Real,8
Gallant,Ology,2
Vorvaň,Once Love Was Lost,0
Elliott Power,Once Smitten,4
Eric Prydz,Opus,6
Conrad Keely,Original Machines,0
Hacktivist,Outside the Box,5
Brian Fallon,Painkillers,1
A-Reece,Paradise,5
Delta Heavy,Paradise Lost,5
Redfoo,Party Rock Mansion,3
Brothers Osborne,Pawn Shop,4
Jack Garratt,Phase,7
CNCO,Primera Cita,0
Japanese Breakfast,Psychopomp,0
CDQ,Quality,6
Player Piano,Radio Love,0
Sayaka Yamamoto,Rainbow,0
Kilo Kish,Reflections in Real Time,0
Dorothy,Rockisdead,6
Nina Kraljić,Samo,4
dvsn,SEPT. 5TH,4
Andy Black,The Shadow Side,1
Stephen,Sincerely,0
Daya,"Sit Still, Look Pretty",3
Deakin,Sleep Cycle,1
Keegan Joyce,Snow on Higher Ground,0
The Zenith Passage,Solipsist,2
"Francisco, el Hombre",Soltasbruxa,1
Jordan Smith,Something Beautiful,1
Drake White,Spark,3
Lee Jong-hyun,Sparkling Night,1
Sianvar,Stay Lost,3
Post Malone,Stoney,6
Dedekind Cut,$uccessor,2
Nicky Byrne,Sunlight,2
Isaiah Rashad,The Sun's Tirade,1
Kembe X,Talk Back,5
Matt Corby,Telluric,1
Cana's Voice,This Changes Everything,0
TINI,TINI (Martina Stoessel),4
Tkay Maidza,Tkay,2
Cane Hill,Smile,4
Nathan Sykes,Unfinished Business,4
Cimorelli,Up at Night,0
Virginia to Vegas,Utopian,4
Anna Meredith,Varmints,0
Peter Garrett,A Version of Now,0
William Michael Morgan,Vinyl,3
Viola Beach,Viola Beach,2
Roy Woods,Waking at Dawn,2
Honne,Warm on a Cold Night,5
Tom Chaplin,The Wave,4
We Are Messengers,We Are Messengers,0
Pearl City Worship,We Won't Be Silent,0
Steven Tyler,We're All Somebody from Somewhere,3
Urban Rescue,Wild Heart,0
Steve Angello,Wild Youth,6
Rachel Platten,Wildfire,3
Lil' Kleine,WOP!,0
Letters from the Fire,Worth the Pain,0
Raleigh Ritchie,"You're a Man Now, Boy",6
Alfie Arcuri,Zenith,1
Zoax,Zoax,2
Cashmere Cat,9,4
ASAP Twelvyy,12,0
XXXTentacion,17,3
South Club,90,0
Princess Nokia,1992 Deluxe,4
Khalid,American Teen,3
Moses Sumney,Aromanticism,3
Liam Gallagher,As You Were,5
Vic Mensa,The Autobiography,1
Alexandra Savior,Belladonna of Sadness,5
A Boogie wit da Hoodie,The Bigger Artist,2
Smino,blkswn,4
Beau Dermott,Brave,0
Brett Young,Brett Young,4
PnB Rock,Catch These Vibes,2
Cindy Wilson,Change,0
Jidenna,The Chief,4
Cigarettes After Sex,Cigarettes After Sex,4
Amber Coffman,City of No Reply,3
Allie X,CollXtion II,3
Lil Peep,"Come Over When You're Sober, Pt. 1",0
J Hus,Common Sense,4
Judah Kelly,Count On Me,2
Lute,West1996 pt. 2,0
Crystal Fairy,Crystal Fairy,3
SZA,Ctrl,4
Cody Carnes,The Darker the Night / The Brighter the Morning,4
Smokepurpp,Deadstar,4
Jason Manford,A Different Stage,0
Austin Mahone,Dirty Work,3
GJan,Do It,3
Rob $tone,Don't Wait For It,0
Dreamcar,Dreamcar,2
Dua Lipa,Dua Lipa,8
Vant,Dumb Blood,7
Tired Lion,Dumb Days,4
Creeper,"Eternity, in Your Arms",4
Carly Pearce,Every Little Thing,2
Stills & Collins,Everybody Knows,0
Can't Swim,Fail You Again,0
Beth Ditto,Fake Sugar,0
The Regrettes,Feel Your Feelings Fool!,4
Syd,Fin,2
Niall Horan,Flicker,4
Superfruit,Future Friends,0
Stormzy,Gang Signs & Prayer,4
Sevyn Streeter,Girl Disrupted,3
Gizmodrome,Gizmodrome,0
Aminé,Good for You,5
TC&I,Great Aspirations,0
Charly Bliss,Guppy,4
Cosmic Girls,Happy Moment,1
Harry Styles,Harry Styles,3
KARD,Hola Hola,4
Peter Perrett,How the West Was Won,0
Rag'n'Bone Man,Human,5
G Herbo,Humble Beast,3
Dhani Harrison,In Parallel,0
VUUR,In This Moment We Are Free – Cities,0
Wincent Weiss,Irgendwas gegen die Stille,3
21 Savage,Issa Album,1
IDK,IWasVeryBad,2
Gabriel Garzón-Montano,Jardín,3
Jona Viray,Jona,7
Grace VanderWaal,Just the Beginning,2
King Satan,King Fucking Satan,0
Hippo Campus,Landmark,3
A Very Loud Death,Lanterns,2
LANY,LANY,6
Kacy Hill,Like a Woman,4
Lil Pump,Lil Pump,5
Sofía Reyes,Louder!,4
Bobby,Love and Fall,2
The Big Moon,Love in the 4th Dimension,4
Meg Mac,Low Blows,2
Rezz,Mass Manipulation,4
Nothing But You,Meant to Be,0
the Chainsmokers,Memories...Do Not Open,3
Sayuri,Mikazuki no Koukai,5
Ded,Mis•an•thrope,0
Mura Masa,Mura Masa,6
Joe Scarborough,Mystified,0
Mito Natsume,Natsumelo,4
Sheer Mag,Need To Feel Your Love,3
Iglooghost,Neō Wax Bloom,4
J.I.D,The Never Story,1
Madeline Kenney,Night Night at the First Landing,0
Cyhi the Prynce,No Dope on Sundays,2
Midland,On the Rocks,3
Peter Toussaint,One Day,0
Nines,One Foot Out,1
Tokio Myers,Our Generation,3
Kodak Black,Painting Pictures,3
Playboi Carti,Playboi Carti,3
Poppy,Poppy.Computer,7
Powerflo,Powerflo,3
Sampha,Process,3
Lindsay Ell,The Project,2
Prophets of Rage,Prophets of Rage,0
Sons of Apollo,Psychotic Symphony,0
Quality Control,Quality Control: Control the Streets Volume 1,4
JP Cooper,Raised Under Grey Skies,6
Mike Will Made It,Ransom 2,3
Residente,Residente,2
Vancouver Sleep Clinic,Revival,4
Wild Fire,Revolt,0
Exit Eden,Rhapsodies in Black,0
Ocean Grove,The Rhapsody Tapes,3
Shekhinah,Rose Gold,2
Ruth B,Safe Haven,3
Sofia Ellar,Seis peniques,0
Sheridan Smith,Sheridan,3
Aquilo,Silhouettes,4
Rex Brown,Smoke on This...,0
Caitlyn Shadbolt,Songs on My Sleeve,0
Joanna Forest,Stars Are Rising,0
Kehlani,SweetSexySavage,3
Jaden Smith,Syre,5
Danger,太鼓,0
Kelela,Take Me Apart,4
Lil Yachty,Teenage Emotions,1
Blaenavon,That's Your Lot,0
A. Savage,Thawing Dawn,0
Frances,Things I've Never Said,7
Luke Combs,This One's for You,3
Allison Crutchfield,Tourist In This Town,0
Matt Terry,Trouble,1
Sløtface,Try Not to Freak Out,0
Levina,Unexpected,1
Karol G,Unstoppable,7
Pabllo Vittar,Vai Passar Mal,6
Una Healy,The Waiting Game,2
5kMiles,Walking in Circles,1
Josh Todd & The Conflict,Year of the Tiger,0
Shane Eagle,Yellow,2
Dams of the West,Youngish American,2
Russell Dickerson,Yours,2
Rich Brian,Amen,3
Jonathan Davis,Black Labyrinth,2
Camila Cabello,Camila,2
Devin Dawson,Dark Horse,0
Famous Dex,Dex Meets Dexter,3
Dita Von Teese,Dita Von Teese,1
Dream Wife,Dream Wife,0
Gunna,Drip Season 3,1
Bebe Rexha,Expectations,1
Hayley Kiyoko,Expectations,3
Ashley McBryde,Girl Going Nowhere,0
Lanco,Hallelujah Nights,0
Phew and Alrahim Wright III,Here's a Phew,0
Saweetie,High Maintenance,2
Jordan Davis,Home State,0
Cardi B,Invasion of Privacy,4
UP10TION,Invitation,1
Kali Uchis,Isolation,3
Chloe x Halle,The Kids Are Alright,2
L.A.R.S.,Last American Rock Stars,0
Lil Skies,Life of a Dark Rose,2
Lo Moon,Lo Moon,0
Amy Shark,Love Monster,1
Terror Universal,Make Them Bleed,0
NCT,NCT 2018 Empathy,6
Calum Scott,Only Human,3
Kasbo,Places We Don't Know,6
Mike Shinoda,Post Traumatic,1
Maxo Kream,Punken,0
Rich Homie Quan,Rich as in Spirit,2
Shame,Songs of Praise,0
Anne-Marie,Speak Your Mind,5
Ängie,Suicidal Since 1995,2
Superorganism,Superorganism,6
The Academic,Tales from the Backseat,4
MitiS,'Til the End,3
Lil Xan,Total Xanarchy,4
YoungBoy Never Broke Again,Until Death Call My Name,2
EDEN,vertigo,3
Nipsey Hussle,Victory Lap,2
Rich the Kid,The World Is Yours,3
Myles Kennedy,Year of the Tiger,0
Fickle Friends,You Are Someone Else,6
