label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
0,No Malice,Hear Ye Him,hiphop,0,0,0,16,26,,,,45663,51127,52712,3726,4250,3799
0,The Uncluded,Hokey Fright,hiphop,0,0,0,0,0,,79,,3114,0,18233,12947,0,0
0,Naughty Boy,Hotel Cabana,hiphop,5,0,0,1,0,,,,236414,22899,438703,194882,5710790,12523
0,Letherette,Letherette,hiphop,0,0,0,0,0,,64,,3254,1747,15093,19938,20428,0
0,Rittz,The Life and Times of Jonny Valiant,hiphop,1,0,0,5,8,,,,123938,271418,566514,207945,33324,173348
1,Lizzo,Lizzobangers,hiphop,0,0,0,0,9,,85,,45821,161480,53721,74087,7022,53568
0,Stooshe,London with the Lights On,hiphop,32,0,0,0,1153,,60,,177377,0,202174,77814,3357,41617
1,ASAP Rocky,Long. Live. ASAP,hiphop,4,0,0,6,35,,,,2262355,7389331,6008110,3567813,3152194,2179201
1,MellowHigh,MellowHigh,hiphop,2,0,0,5,5,,65,6.8,677,0,7281,32938,0,0
0,Boldy James,My 1st Chemistry Set,hiphop,2,0,0,2,12,,,7.4,11387,14076,4796,4003,3453,0
0,Jarren Benton,My Grandma's Basement,hiphop,1,0,0,0,2,,,,94312,162220,251115,81714,16458,53268
1,Pusha T,My Name Is My Name,hiphop,5,1,0,137,2382,,81,8,1443846,1233010,1472061,698910,8217770,82236
1,Papoose,The Nacirema Dream,hiphop,3,0,0,4,15,,70,,163115,1073408,151795,87246,2639,0
0,Troy Ave,New York City: The Album,hiphop,0,0,0,5,1012,,,,79228,553694,0,90310,55842,116079
1,Denzel Curry,Nostalgic 64,hiphop,0,0,0,2,16,,,,213190,499222,190606,432839,337978,285520
0,Jenni Pulos,Old School Kids Beats,hiphop,0,0,0,0,30,,,,0,0,0,0,0,0
0,Casseurs Flowters,Orelsan et Gringe sont les Casseurs Flowters,hiphop,1,0,0,0,0,,,,0,0,375502,164857,0,492341
0,Mike Stud,Relief,hiphop,0,0,0,3,7,,,,253295,215792,95844,210797,141016,264874
0,Wallpaper.,Ricky Reed Is Real,hiphop,2,0,0,0,1,,,,1093,348,0,28594,7444,0
0,Shehyee,Shehyee,hiphop,0,0,0,0,0,,,,66314,46534,815435,22461,0,11067
0,Starbomb,Starbomb,hiphop,21,0,0,0,0,,,,302259,0,67250,123351,0,2741525
0,Yancey Boys,Sunset Blvd.,hiphop,1,0,0,1,0,,,7.3,0,0,3309,2827,0,0
1,ASAP Ferg,Trap Lord,hiphop,3,0,0,38,63,,,,832039,2347804,2165006,1221045,1140838,887825
0,Mr Probz,The Treatment,hiphop,3,0,0,0,22,,,,133267,119828,404960,239443,54268,673021
1,Jon Connor,Unconscious State,hiphop,0,0,0,5,5,,,,57045,30634,44949,15401,11061,16608
0,How to Destroy Angels,Welcome oblivion,hiphop,1,0,0,0,3,,,,50762,21765,170756,52527,51537,0
0,W.L.A.K.,W.L.A.K.,hiphop,0,0,0,1,0,,,,0,0,21,7025,0,0
1,DJ Mustard,10 Summers,hiphop,1,2,0,15,94,,74,7.7,377345,698,446186,272239,160875,200390
0,Eduardo,A Fantastica Fabrica de Cadaver,hiphop,0,0,0,0,0,,,,0,0,0,0,0,0
0,Joke,Ateyaba,hiphop,7,0,0,0,276,,,,10977,0,0,69162,0,0
0,Sir Michael Rocks,Banco,hiphop,1,0,0,9,32,,,,81207,53179,40814,26435,42959,27811
1,The Underachievers,Cellar Door: Terminus ut Exordium,hiphop,0,0,0,1,8,,,,130706,129395,172240,198305,129349,271112
