artist,album,release_date,ratings
DJ Taye ,Still Trippin',05/03/2018,7.8
Tracey Thorn,Record ,05/03/2018,8
Scarface,The Diary,04/03/2018,9.3
Spacemen 3,Dreamweapon,03/03/2018,6.6
Peggy Gou,Once EP,03/03/2018,7.7
Suuns,Felt ,03/03/2018,7.4
Dedekind Cut,Tahoe,03/03/2018,7.2
The Breeders,All Nerve,02/03/2018,7.1
Superorganism ,Superorganism ,02/03/2018,7.8
Charlotte Day Wilson,Stone Woman EP,02/03/2018,6.7
Various Artist,Hexadic III,02/03/2018,7.6
A.A.L (Against All Logic) ,2012 - 2017,01/03/2018,8.8
Bad Gyal,Worldwide Angel ,01/03/2018,6.2
Towkio,WWW.,01/03/2018,5.8
The Lovely Eggs,This Is Eggland,01/03/2018,7
Turnstile,Time & Space,28/02/2018,5.4
Vundabar,Smell Smoke,28/02/2018,7.5
FRIGS,Basic Behaviour,28/02/2018,6.7
Joji,In Tongues EP,28/02/2018,5.2
Laurie Anderson,Landfall,27/02/2018,7.7
S. Carey,Hundred Acres,27/02/2018,6.4
Ryuichi Sakamoto,async remodels,27/02/2018,6.3
Dabrye,Three/Three,27/02/2018,7
SOB X RBE,Gangin,26/02/2018,8.3
John B. McLemore,Witness Marks: The Works of John B. McLemore ,26/02/2018,6.8
Lo Moon,Lo Moon,26/02/2018,5
Black Milk,FEVER,26/02/2018,7.4
Starchild & the New Romantic,Language,26/02/2018,7.2
Sublime,40oz. to Freedom,25/02/2018,5.6
Nipsey Hussle,Victory Lap,24/02/2018,7.8
Hailu Mergia,Lala Belu,24/02/2018,8
Johanna Warren,Gemini II ,24/02/2018,7
Joey Dosik,Game Winner EP,24/02/2018,6.3
Digable Planets,Reachin' (A New Refutation of Time and Space),23/02/2018,8.7
Screaming Females,All at Once,23/02/2018,8
Moneybagg Yo,2 Heartless,23/02/2018,7.2
Tyga,Kyoto,23/02/2018,3.3
Ludwig Goransson,Black Panther (Original Score),22/02/2018,7.6
Kodak Black,Heart Break Kodak,22/02/2018,5
Loma,Loma,22/02/2018,7.8
American Nightmare,American Nightmare,22/02/2018,7.3
Superchunk,What a Time to Be Alive,21/02/2018,8.1
Belle and Sebastian,"How to Solve Our Human Problems, Pt. 3",21/02/2018,7.2
Everything Is Recorded,Everything Is Recorded,21/02/2018,7.2
Wild Beasts,Last Night All My Dreams Came True ,21/02/2018,6.6
U.S. Girls,In a Poem Unlimited,20/02/2018,8.6
Mach-Hommy,Bullettproof Luh,20/02/2018,7.4
Ride,Tomorrow's Shore EP,20/02/2018,7
Rejjie Snow,Dear Annie,20/02/2018,5.5
Ought,Room Inside the World ,19/02/2018,7.1
American Pleasure Club,A Whole Fucking Lifetime of This,19/02/2018,7.9
Belle and Sebastian,The Boy With the Arab Strap,18/02/2018,8.5
Sonny Rollins,Way Out West,17/02/2018,8.8
Fischerspooner,Sir,17/02/2018,5.8
Brandi Carlile,"By the Way, I Forgive You",17/02/2018,6.9
Mark Renner,Few Traces,17/02/2018,7.7
Car Seat Headrest,Twin Fantasty,16/02/2018,8.6
Son Lux,Brighter Wounds,16/02/2018,7.3
Pianos Become the Teeth,Wait for Love,16/02/2018,7.7
Alva Noto,Glass,16/02/2018,7.5
Songs: Ohia,Travels in Constants EP,15/02/2018,8
Zaki Ibrahim,The Secret Life of Planets,15/02/2018,7.8
Cozz,Effected,15/02/2018,6.8
Ashtar Lavanda,Unsolved Mysteries,15/02/2018,7.1
2 Chainz,The Play Don't Care Who Makes It EP,14/02/2018,7.5
Hovvdy,Cranberry,14/02/2018,7.5
Holy Motors,Slow Sundown,14/02/2018,6.1
Polica,Music for the Long Emergency,14/02/2018,5.2
Ravyn Lenae,Crush EP,13/02/2018,7.9
High Rise,High Rise II,13/02/2018,8.4
Anenon,Tongue,13/02/2018,7.5
Genocide Pact,Order of Torment,13/02/2018,7.3
Various Artist,Black Panther The Album,12/02/2018,7.5
Ezra Furman,Transangelic Exodus,12/02/2018,7.4
Audio Push,Cloud 909,12/02/2018,5.9
SHIRT,Pure Beauty ,12/02/2018,6.3
John Tejada,Dead Start Program,12/02/2018,6.5
OutKast,Stankonia,11/02/2018,9.5
