artist,album,genre,single_count
Smokepurpp,Deadstar,hiphop,4
Rob $tone,Don't Wait For It,hiphop,0
Syd,Fin,hiphop,2
Stormzy,Gang Signs & Prayer,hiphop,4
Amine,Good for You,hiphop,5
G Herbo,Humble Beast,hiphop,3
21 Savage,Issa Album,hiphop,1
IDK,IWasVeryBad,hiphop,2
Kacy Hill,Like a Woman,hiphop,4
Lil Pump,Lil Pump,hiphop,5
Mura Masa,Mura Masa,hiphop,6
J.I.D,The Never Story,hiphop,1
Cyhi the Prynce,No Dope on Sundays,hiphop,2
Nines,One Foot Out,hiphop,1
Kodak Black,Painting Pictures,hiphop,3
Playboi Carti,Playboi Carti,hiphop,3
Quality Control,Quality Control: Control the Streets Volume 1,hiphop,4
Mike Will Made It,Ransom 2,hiphop,3
Residente,Residente,hiphop,2
Jaden Smith,Syre,hiphop,5
Danger,Tai Gu ,hiphop,0
Lil Yachty,Teenage Emotions,hiphop,1
Shane Eagle,Yellow,hiphop,2
Rich Brian,Amen,hiphop,3
Famous Dex,Dex Meets Dexter,hiphop,3
Saweetie,High Maintenance,hiphop,2
Cardi B,Invasion of Privacy,hiphop,4
Kali Uchis,Isolation,hiphop,3
L.A.R.S.,Last American Rock Stars,hiphop,0
Lil Skies,Life of a Dark Rose,hiphop,2
Rich Homie Quan,Rich as in Spirit,hiphop,2
YoungBoy Never Broke Again,Until Death Call My Name,hiphop,2
Nipsey Hussle,Victory Lap,hiphop,2
Travis Barker,Give the Drummer Some,hiphop,1
Marlon Roudette,Matter Fixed,hiphop,4
The Rubberbandits,Serious About Men,hiphop,4
Glory,Celebration,hiphop,1
Jovi,H.I.V (Humanity is Vanishing),hiphop,0
Elokuu,Haavaki saapuu,hiphop,0
Cro,Raop,hiphop,37
Daveed Diggs,Small Things to a Giant,hiphop,0
Spekti,Diktaattorimies,hiphop,3
Tuomas Kauhanen,Sano vaan Tuomas,hiphop,0
Colette Carr,Skitszo Collection,hiphop,20
Something Awful,Taking Lives,hiphop,0
Sensato del Patio,We Ain't Even Supposed 2 B Here,hiphop,6
Azealia Banks,Broke with Expensive Taste,hiphop,4
Dillon Francis,Money Sucks Friends Rule,hiphop,7
Phyno,No Guts No Glory,hiphop,4
Neon Jungle,Welcome to the Jungle,hiphop,5
Justimus,Wunderboy,hiphop,0
Emtee,Avery,hiphop,5
DJ Hoppa,'Hoppa and Friends,hiphop,0
Paperi T,Malarian pelko,hiphop,0
From Ashes to New,Day One,hiphop,4
DJ Snake,Encore,hiphop,4
Xu Weizhou,Light,hiphop,5
Hacktivist,Outside the Box,hiphop,5
