artists,albums,genre,release_date,ratings
Smerz,Have fun EP,['Pop/R&B'],2018-03-13,8.1
DJ Nigga Fox,Crânio EP,['Electronic'],2018-03-13,8.0
CRZKNY,GVVVV,['Electronic'],2018-03-13,6.6
David Byrne,American Utopia,['Rock'],2018-03-12,5.8
Kraus,Path,['Rock'],2018-03-12,7.3
Mozzy,Spiritual Conversations EP,['Rap'],2018-03-12,6.8
Haley Heynderickx,I Need to Start a Garden,['Folk/Country'],2018-03-12,7.3
8ULENTINA,Eucalyptus EP,['Electronic'],2018-03-12,7.5
Miles Davis,Get Up With It,['Jazz'],2018-03-11,9.6
Moby,"Everything Was Beautiful, and Nothing Hurt",['Electronic'],2018-03-10,5.7
Joan Baez,Whistle Down the Wind,['Rock'],2018-03-10,7.4
Various Artist,Hunchin’ All Night,[],2018-03-10,7.3
Nap Eyes,I’m Bad Now,['Rock'],2018-03-10,7.6
Lil Yachty,Lil Boat 2,['Rap'],2018-03-09,5.8
Ed Schrader’s Music Beat,Riddles,['Rock'],2018-03-09,7.4
Ronny J,OMGRONNY,['Rap'],2018-03-09,6.8
Ilsa,Corpse Fortress,['Metal'],2018-03-09,7.2
Andrew W.K.,You’re Not Alone,['Rock'],2018-03-08,6.6
Valee,"GOOD Job, You Found Me EP",['Rap'],2018-03-08,7.4
Lost Girls,Feeling EP,['Experimental'],2018-03-08,7.6
Elucid,Shit Don’t Rhyme No More,['Rap'],2018-03-08,7.7
Tory Lanez,Memories Don’t Die,['Rap'],2018-03-07,5.5
Camp Cope,How to Socialise & Make Friends,['Rock'],2018-03-07,7.8
Roc Marciano,RR2: The Bitter Dose,['Rap'],2018-03-07,8.0
P. Adrix,Álbum Desconhecido,['Electronic'],2018-03-07,7.4
Titus Andronicus,A Productive Cough,['Rock'],2018-03-06,5.9
Lucy Dacus,Historian,['Rock'],2018-03-06,8.1
Seun Kuti & Egypt 80,Black Times,['Jazz'],2018-03-06,7.6
Keiji Haino,"American Dollar Bill - Keep Facing Sideways, You’re Too Hideous To Look at Face on","['Experimental', 'Metal']",2018-03-06,7.3
Soccer Mommy,Clean ,['Rock'],2018-03-05,8.4
E Ruscha V,Who Are You,['Electronic'],2018-03-05,7.7
The Men,Drift,['Rock'],2018-03-05,6.6
DJ Taye ,Still Trippin’,['Electronic'],2018-03-05,7.8
Tracey Thorn,Record ,['Pop/R&B'],2018-03-05,8.0
Scarface,The Diary,['Rap'],2018-03-04,9.3
Spacemen 3,Dreamweapon,['Experimental'],2018-03-03,6.6
Peggy Gou,Once EP,['Electronic'],2018-03-03,7.7
Suuns,Felt ,['Rock'],2018-03-03,7.4
Dedekind Cut,Tahoe,['Experimental'],2018-03-03,7.2
The Breeders,All Nerve,['Rock'],2018-03-02,7.1
Superorganism ,Superorganism ,['Pop/R&B'],2018-03-02,7.8
Charlotte Day Wilson,Stone Woman EP,['Pop/R&B'],2018-03-02,6.7
Various Artist,Hexadic III,[],2018-03-02,7.6
A.A.L (Against All Logic) ,2012 - 2017,['Electronic'],2018-03-01,8.8
Bad Gyal,Worldwide Angel ,['Pop/R&B'],2018-03-01,6.2
Towkio,WWW.,['Rap'],2018-03-01,5.8
The Lovely Eggs,This Is Eggland,['Rock'],2018-03-01,7.0
Turnstile,Time & Space,['Rock'],2018-02-28,5.4
Vundabar,Smell Smoke,['Rock'],2018-02-28,7.5
FRIGS,Basic Behaviour,['Rock'],2018-02-28,6.7
Joji,In Tongues EP,['Pop/R&B'],2018-02-28,5.2
Laurie Anderson,Landfall,['Experimental'],2018-02-27,7.7
S. Carey,Hundred Acres,['Rock'],2018-02-27,6.4
Ryuichi Sakamoto,async remodels,['Electronic'],2018-02-27,6.3
Dabrye,Three/Three,['Rap'],2018-02-27,7.0
SOB X RBE,Gangin,['Rap'],2018-02-26,8.3
John B. McLemore,Witness Marks: The Works of John B. McLemore ,['Electronic'],2018-02-26,6.8
Lo Moon,Lo Moon,['Rock'],2018-02-26,5.0
Black Milk,FEVER,['Rap'],2018-02-26,7.4
Starchild & the New Romantic,Language,['Pop/R&B'],2018-02-26,7.2
Sublime,40oz. to Freedom,['Rock'],2018-02-25,5.6
Nipsey Hussle,Victory Lap,['Rap'],2018-02-24,7.8
Hailu Mergia,Lala Belu,['Global'],2018-02-24,8.0
Johanna Warren,Gemini II ,['Folk/Country'],2018-02-24,7.0
Joey Dosik,Game Winner EP,['Pop/R&B'],2018-02-24,6.3
Digable Planets,Reachin’ (A New Refutation of Time and Space),['Rap'],2018-02-23,8.7
Screaming Females,All at Once,['Rock'],2018-02-23,8.0
Moneybagg Yo,2 Heartless,['Rap'],2018-02-23,7.2
Tyga,Kyoto,['Rap'],2018-02-23,3.3
Ludwig Göransson,Black Panther (Original Score),['Experimental'],2018-02-22,7.6
Kodak Black,Heart Break Kodak,['Rap'],2018-02-22,5.0
Loma,Loma,['Rock'],2018-02-22,7.8
American Nightmare,American Nightmare,"['Metal', 'Rock']",2018-02-22,7.3
Superchunk,What a Time to Be Alive,['Rock'],2018-02-21,8.1
Belle and Sebastian,"How to Solve Our Human Problems, Pt. 3",['Rock'],2018-02-21,7.2
Everything Is Recorded,Everything Is Recorded,['Electronic'],2018-02-21,7.2
Wild Beasts,Last Night All My Dreams Came True ,['Rock'],2018-02-21,6.6
U.S. Girls,In a Poem Unlimited,['Pop/R&B'],2018-02-20,8.6
Mach-Hommy,Bullettproof Luh,['Rap'],2018-02-20,7.4
Ride,Tomorrow’s Shore EP,['Rock'],2018-02-20,7.0
Rejjie Snow,Dear Annie,['Rap'],2018-02-20,5.5
Ought,Room Inside the World ,['Rock'],2018-02-19,7.1
American Pleasure Club,A Whole Fucking Lifetime of This,['Rock'],2018-02-19,7.9
Belle and Sebastian,The Boy With the Arab Strap,['Rock'],2018-02-18,8.5
Sonny Rollins,Way Out West,['Jazz'],2018-02-17,8.8
Fischerspooner,Sir,['Electronic'],2018-02-17,5.8
Brandi Carlile,"By the Way, I Forgive You",['Folk/Country'],2018-02-17,6.9
Mark Renner,Few Traces,['Experimental'],2018-02-17,7.7
Car Seat Headrest,Twin Fantasty,['Rock'],2018-02-16,8.6
Son Lux,Brighter Wounds,['Rock'],2018-02-16,7.3
Pianos Become the Teeth,Wait for Love,['Rock'],2018-02-16,7.7
Alva Noto,Glass,['Electronic'],2018-02-16,7.5
Songs: Ohia,Travels in Constants EP,['Rock'],2018-02-15,8.0
Zaki Ibrahim,The Secret Life of Planets,['Pop/R&B'],2018-02-15,7.8
Cozz,Effected,['Rap'],2018-02-15,6.8
Ashtar Lavanda,Unsolved Mysteries,['Electronic'],2018-02-15,7.1
2 Chainz,The Play Don’t Care Who Makes It EP,['Rap'],2018-02-14,7.5
Hovvdy,Cranberry,['Rock'],2018-02-14,7.5
Holy Motors,Slow Sundown,['Rock'],2018-02-14,6.1
Poliça,Music for the Long Emergency,"['Rock', 'Jazz']",2018-02-14,5.2
Ravyn Lenae,Crush EP,['Pop/R&B'],2018-02-13,7.9
High Rise,High Rise II,['Rock'],2018-02-13,8.4
Anenon,Tongue,['Electronic'],2018-02-13,7.5
Genocide Pact,Order of Torment,['Metal'],2018-02-13,7.3
Various Artist,Black Panther The Album,[],2018-02-12,7.5
Ezra Furman,Transangelic Exodus,['Rock'],2018-02-12,7.4
Audio Push,Cloud 909,['Rap'],2018-02-12,5.9
SHIRT,Pure Beauty ,['Rap'],2018-02-12,6.3
John Tejada,Dead Start Program,['Electronic'],2018-02-12,6.5
OutKast,Stankonia,['Rap'],2018-02-11,9.5
Dashboard Confessional,Crooked Shadows,['Rock'],2018-02-10,4.7
Susanna,Go Dig My Grave,['Electronic'],2018-02-10,6.0
Harm’s Way,Posthuman,['Metal'],2018-02-10,6.8
Mija ,How to Measure the Distance Between Lovers EP,['Electronic'],2018-02-10,7.0
MGMT,Little Dark Age,['Rock'],2018-02-09,7.0
Palm,Rock Island ,['Rock'],2018-02-09,6.8
Brigid Mae Power,The Two Worlds,['Folk/Country'],2018-02-09,7.4
Gunna,Drip Season 3,['Rap'],2018-02-09,5.2
Franz Ferdinand,Always Ascending,['Rock'],2018-02-08,6.9
Efrim Manuel Menuck,Pissing Stars,['Experimental'],2018-02-08,7.8
Lea Bertucci,Metal Aether,['Experimental'],2018-02-08,7.6
Dream Wife,Dream Wife,['Rock'],2018-02-08,6.7
Christoph De Babalon,"If You’re Into It, I’m Out of It",['Electronic'],2018-02-07,8.4
The Soft Moon,Criminal,['Rock'],2018-02-07,7.2
Caleb Giles,There Will Be Rain ,['Rap'],2018-02-07,7.0
Kuniyuki Takahashi,Early Tape Works (1986-1993) Vol.1,['Electronic'],2018-02-07,6.9
Rich Brian,Amen,['Rap'],2018-02-06,5.9
Portal,ION,['Metal'],2018-02-06,7.8
Kilchhofer,The Book Room,['Electronic'],2018-02-06,7.7
K. Leimer,Mitteltöner,['Electronic'],2018-02-06,7.5
Rhye,Blood,['Pop/R&B'],2018-02-05,6.3
Hookworms,Microshift,['Rock'],2018-02-05,7.9
Kyle Craft,Full Circle Nightmare,['Rock'],2018-02-05,4.1
Helado Negro,Island Universe Story Four,['Electronic'],2018-02-05,7.4
La Monte Young,The Well-Tuned Piano,['Experimental'],2018-02-04,9.5
Steve Reich,Pulse/Quartet ,['Experimental'],2018-02-03,4.9
Anna Burch,Quit the Curse,['Rock'],2018-02-03,6.8
Mukqs,起き上がり,['Electronic'],2018-02-03,7.1
Mammoth Grinder,Cosmic Crypt,['Metal'],2018-02-03,7.6
Justin Timberlake,Man of the Woods,['Pop/R&B'],2018-02-02,3.8
H.C. McEntire,Lionheart,['Folk/Country'],2018-02-02,8.0
Burna Boy,Outside,['Rap'],2018-02-02,7.7
Field Music,Open Here,['Rock'],2018-02-02,7.2
Khruangbin,Con Todo El Mundo,['Rock'],2018-02-01,7.6
Stick in the Wheel,Follow Them True,['Folk/Country'],2018-02-01,7.7
Daniel Avery,Slow Fade EP,['Electronic'],2018-02-01,7.0
Sylvie Courvoisier Trio,D’Agala,['Jazz'],2018-02-01,7.4
 JPEGMAFIA,Veteran,['Rap'],2018-01-31,7.7
Domo Genesis,Aren’t U Glad You’re U?,['Rap'],2018-01-31,4.9
OMB Peezy ,Young & Reckless,['Rap'],2018-01-31,6.8
Meat Beat Manifesto,Impossible Star,['Electronic'],2018-01-31,6.9
Migos,Culture II,['Rap'],2018-01-30,6.4
Payroll Giovanni,Big Bossin Vol. 2,['Rap'],2018-01-30,7.8
NADINE,Oh My,['Pop/R&B'],2018-01-30,6.6
Dommengang,Love Jail ,['Rock'],2018-01-30,7.0
No Age,Snares Like a Haircut,['Rock'],2018-01-29,8.0
Pendant,Make Me Know You Sweet ,['Experimental'],2018-01-29,7.8
Ghostface Killah,The Brown Tape,['Rap'],2018-01-29,6.0
RAMZi,Pèze-Piton,['Electronic'],2018-01-29,7.7
The Spook School, Could It Be Different?,['Rock'],2018-01-29,6.8
2Pac,All Eyez On Me,['Rap'],2018-01-28,9.4
Fleetwood Mac,Fleetwood Mac ,['Rock'],2018-01-27,9.0
Hollie Cook,Vessel of Love,['Pop/R&B'],2018-01-27,7.4
De Lux,More Disco Songs About Love,['Electronic'],2018-01-27,6.1
Evidence,Weather or Not ,['Rap'],2018-01-27,7.0
Ty Segall,Freedom’s Goblin,['Rock'],2018-01-26,8.1
Television Personalities,Beautiful Despair,['Rock'],2018-01-26,6.9
Skream,Fabriclive 96,['Electronic'],2018-01-26,5.6
Calexico,The Thread That Keeps Us ,['Rock'],2018-01-26,7.1
Johnny Jewel,Digital Rain,['Electronic'],2018-01-25,7.4
Craig David,The Time Is Now,['Pop/R&B'],2018-01-25,5.5
Django Django,Marble Skies,['Pop/R&B'],2018-01-25,6.9
Tribulation,Down Below ,['Metal'],2018-01-25,8.0
Nils Frahm,All Melody,['Electronic'],2018-01-24,7.8
Curtis Roach,Highly Caffeinated,['Rap'],2018-01-24,6.3
awakebutstillinbed,what people call low self​-​esteem is really just seeing yourself the way that other people see you,['Rock'],2018-01-24,7.7
Aksak Maboul,Un Peu De L’Âme Des Bandits,['Experimental'],2018-01-24,7.2
Tune-Yards,I Can Feel You Creep Into My Private Life,['Pop/R&B'],2018-01-23,6.2
The Shins,The Worm’s Heart,['Rock'],2018-01-23,6.6
Mudhoney,LiE,['Rock'],2018-01-23,6.9
Chris Dave and the Drumhedz,Chris Dave and the Drumhedz,['Jazz'],2018-01-23,6.2
Porches,The House,['Rock'],2018-01-22,6.4
BØRNS,Blue Madonna,['Pop/R&B'],2018-01-22,5.7
Dave East,Paranoia 2,['Rap'],2018-01-22,7.4
Cadence Weapon,Cadence Weapon,['Rap'],2018-01-22,7.3
The-Dream,Love/Hate,['Pop/R&B'],2018-01-21,9.1
Todd Rundgren,Something/Anything?,['Rock'],2018-01-20,9.0
Glen Hansard,Between Two Shores,['Rock'],2018-01-20,5.7
Matthewdavid,Time Flying Beats,['Electronic'],2018-01-20,7.1
Hoodrich Pablo Juan ,Rich Hood,['Rap'],2018-01-20,6.8
Shopping,The Official Body,['Rock'],2018-01-19,8.1
Phew,Voice Hardcore,['Experimental'],2018-01-19,7.5
First Aid Kit,Ruins,['Folk/Country'],2018-01-19,6.4
The Go! Team,Semicircle,['Rock'],2018-01-19,6.3
Belle and Sebastian,"How to Solve Our Human Problems, Pt. 2",['Rock'],2018-01-18,7.4
SiR,November,['Pop/R&B'],2018-01-18,7.2
Profligate ,Somewhere Else ,['Experimental'],2018-01-18,6.8
Organ Tapes,Into One Name,['Experimental'],2018-01-18,7.3
Camila Cabello,Camila,['Pop/R&B'],2018-01-17,6.8
Shame,Songs of Praise,['Rock'],2018-01-17,7.5
тпсб,Sekundenschlaf,['Experimental'],2018-01-17,7.8
Quincy Jones,The Dude,['Pop/R&B'],2018-01-17,8.1
Jonny Greenwood,Phantom Thread Original Motion Picture Soundtrack,['Experimental'],2018-01-16,7.5
Maxo Kream,Punken,['Rap'],2018-01-16,7.6
Sun Ra,Sun Ra Plays Gershwin,['Jazz'],2018-01-16,6.6
Laraaji,"Vision Songs, Vol. 1",['Experimental'],2018-01-16,6.7
King Gizzard & The Lizard Wizard,Gumboot Soup,['Rock'],2018-01-15,7.7
Lil Skies,Life of a Dark Rose,['Rap'],2018-01-15,6.4
Gil Scott-Heron,Winter in America,['Jazz'],2018-01-14,9.3
Black Rebel Motorcycle Club,Wrong Creatures,['Rock'],2018-01-13,5.8
Jen Shyu,Song of Silver Geese,['Jazz'],2018-01-13,7.4
Booji Boys,Weekend Rocker,['Rock'],2018-01-13,7.0
Panda Bear,A Day With the Homies,['Electronic'],2018-01-12,6.6
Conway,G.O.A.T.,['Rap'],2018-01-12,6.5
Carlos Maria Trindade,Mr. Wollogallu ,['Electronic'],2018-01-12,7.0
Francis and the Lights,Just for Us,['Pop/R&B'],2018-01-11,6.6
Gucci Mane,El Gato: The Human Glacier ,['Rap'],2018-01-11,7.3
Sidney Gish,No Dogs Allowed,['Rock'],2018-01-11,7.7
Betty Davis,Nasty Gal,['Pop/R&B'],2018-01-10,8.4
The Jazz Butcher,The Wasted Years,['Rock'],2018-01-10,6.7
RJMrLA,The Ghetto,['Rap'],2018-01-10,7.2
CupcakKe,Ephorize,['Rap'],2018-01-09,8.3
Scallops Hotel,sovereign nose of (y)​our arrogant face,['Rap'],2018-01-09,7.6
Special Explosion,To Infinity,['Rock'],2018-01-09,7.5
The 1975,"DH00278 (Live From the O2, London, 16/12/16)",['Rock'],2018-01-08,7.1
Vera,Good Job No Conversation,['Electronic'],2018-01-08,6.8
Shells,Shells 2,['Rock'],2018-01-08,7.6
The Blue Nile,Hats,['Rock'],2018-01-07,8.8
Esperanza Spalding,Exposure,['Jazz'],2018-01-06,7.7
Birthing Hips,Urge to Merge,['Rock'],2018-01-06,7.0
Emily A. Sprague,Water Memory,['Electronic'],2018-01-06,7.6
Jeff Rosenstock,POST-,['Rock'],2018-01-05,8.2
Drakeo the Ruler,Cold Devil,['Rap'],2018-01-05,7.9
Various Artist,Bright: The Album,[],2018-01-05,3.2
Lil Wayne,Dedication 6,['Rap'],2018-01-04,5.8
Jon Brion,Lady Bird (Original Motion Picture Soundtrack),['Rock'],2018-01-04,7.3
Pauline Anna Strom,Trans-Millenia Music,['Electronic'],2018-01-04,7.3
Travis Scott,"Huncho Jack, Jack Huncho",['Rap'],2018-01-03,6.3
Jeremy Enigk,Ghosts,['Rock'],2018-01-03,7.4
Virtual Self,Virtual Self EP,['Electronic'],2018-01-03,5.9
Zomby, Mercury’s Rainbow ,['Electronic'],2018-01-02,7.7
The Khan Jamal Creative Arts Ensemble,Drum Dance to the Motherland,['Jazz'],2018-01-02,7.3
Onyx Collective ,Lower East Suite Part One,['Jazz'],2018-01-02,7.4
Chance the Rapper,Merry Christmas Lil’ Mama Re-Wrapped,"['Rap', 'Pop/R&B']",2017-12-22,7.7
Jeezy,Pressure,['Rap'],2017-12-22,6.3
G-Eazy,The Beautiful & Damned,['Rap'],2017-12-21,5.1
Shy Glizzy,Quiet Storm,['Rap'],2017-12-21,7.1
Charli XCX,Pop 2,['Pop/R&B'],2017-12-20,8.4
The Body,A Home on Earth EP,['Metal'],2017-12-20,7.2
Eminem,Revival,['Rap'],2017-12-19,5.0
Superpitcher,The Golden Ravedays,['Electronic'],2017-12-19,6.6
N.E.R.D.,No_One Ever Really Dies,['Rap'],2017-12-18,6.2
Tom Rogerson,Finding Shore ,"['Jazz', 'Experimental']",2017-12-18,8.0
Rage Against the Machine,Rage Against the Machine,['Metal'],2017-12-17,9.1
