artists,albums,genre,release_date,ratings
Megafortress,Believer,['Electronic'],2014-11-04,7.7
The Fall,"Live: Uurop VIII-XII Places In Sun & Winter, Son",['Rock'],2014-11-04,4.6
DJ Koze,Reincarnations Pt. 2,['Electronic'],2014-11-04,7.3
Neil Young,Storytone,['Rock'],2014-11-04,4.8
A Certain Ratio,Sextet,"['Electronic', 'Experimental', 'Rock']",2014-11-03,8.1
Deptford Goth,Songs,"['Electronic', 'Pop/R&B']",2014-11-03,6.8
Pianos Become the Teeth,Keep You,['Rock'],2014-11-03,7.3
Dirty Beaches,Stateless,"['Experimental', 'Rock']",2014-11-03,7.6
Arca,Xen,['Experimental'],2014-11-03,8.4
Wrekmeister Harmonies,Then It All Came Down,['Metal'],2014-10-29,7.5
Dope Body,Lifer,['Rock'],2014-10-29,6.9
Dej Loaf,Sell Sole,['Rap'],2014-10-29,7.5
Mineral,The Power of Failing,['Rock'],2014-10-29,8.5
Run the Jewels,Run the Jewels 2,['Rap'],2014-10-29,9.0
Oozing Wound,Earth Suck,[],2014-10-28,7.7
Weyes Blood,The Innocents,['Rock'],2014-10-28,7.7
Medicine,Home Everywhere,['Rock'],2014-10-28,6.0
John Coltrane,Offering: Live at Temple University,['Jazz'],2014-10-28,8.5
Grouper,Ruins,"['Electronic', 'Rock']",2014-10-28,8.8
Bell Gardens,Slow Dawns for Lost Conclusions,[],2014-10-27,7.4
Elliphant,One More EP,"['Electronic', 'Pop/R&B']",2014-10-27,5.5
Black Milk,If There's a Hell Below,['Rap'],2014-10-27,7.3
Blut Aus Nord,Memoria Vetusta III – Saturnian Poetry,"['Metal', 'Rock']",2014-10-27,8.2
The Flaming Lips,With a Little Help From My Fwends,['Rock'],2014-10-27,5.5
Pig Destroyer,Mass & Volume EP,['Metal'],2014-10-24,7.4
Inter Arma,The Cavern EP,['Metal'],2014-10-24,8.3
The Twilight Sad,Nobody Wants to Be Here and Nobody Wants to Leave,['Rock'],2014-10-24,5.8
T.I.,Paperwork,['Rap'],2014-10-24,7.0
Sleater-Kinney,Start Together,['Rock'],2014-10-24,9.2
Field Report,Marigolden,[],2014-10-23,5.3
The Budos Band,Burnt Offering,"['Global', 'Pop/R&B']",2014-10-23,7.3
Bing & Ruth,Tomorrow Was the Golden Age,['Experimental'],2014-10-23,8.1
Objekt,Flatland,['Electronic'],2014-10-23,8.0
These New Puritans,Expanded (Live at the Barbican),"['Electronic', 'Rock']",2014-10-23,6.4
Menace Ruine,Venus Armata,[],2014-10-22,7.4
Horse Feathers,So It Is With Us,['Rock'],2014-10-22,7.4
Kiesza,Sound of a Woman,['Pop/R&B'],2014-10-22,5.2
Nude Beach,77,[],2014-10-22,6.9
Scott Walker + Sunn O))),Soused,[],2014-10-22,7.4
Felicita,Frenemies EP,[],2014-10-21,7.7
The Pop Group,We Are Time,['Rock'],2014-10-21,7.5
Lewis,Love Ain't No Mystery,['Pop/R&B'],2014-10-21,6.6
...And You Will Know Us by the Trail of Dead,IX,['Rock'],2014-10-21,7.2
Various Artist,Master Mix: Red Hot + Arthur Russell,[],2014-10-21,7.3
A-Wax,Pullin' Strings,[],2014-10-20,7.6
Mark Lanegan Band,Phantom Radio,['Rock'],2014-10-20,6.7
TOPS,Picture You Staring,['Pop/R&B'],2014-10-20,7.0
Thurston Moore,The Best Day,['Rock'],2014-10-20,7.1
Jessie Ware,Tough Love,['Pop/R&B'],2014-10-20,7.3
Melvins,Hold It In,"['Metal', 'Rock']",2014-10-17,6.1
The Weather Station,What Am I Going to Do With Everything I Know,['Folk/Country'],2014-10-17,8.1
Dntel,Human Voice,"['Electronic', 'Rock']",2014-10-17,6.8
Kevin Morby,Still Life,['Rock'],2014-10-17,7.9
DJ Quik,The Midnight Life,['Rap'],2014-10-17,8.2
A Winged Victory for the Sullen,ATOMOS,['Experimental'],2014-10-16,7.3
Drexciya,Neptune's Lair,['Electronic'],2014-10-16,8.7
Kele,Trick,"['Electronic', 'Rock']",2014-10-16,6.0
Kindness,Otherness,"['Electronic', 'Rock']",2014-10-16,5.1
Jawbreaker,24 Hour Revenge Therapy,"['Metal', 'Rock']",2014-10-16,9.1
Institute,Salt EP,['Rock'],2014-10-15,7.4
Allo Darlin',We Come From the Same Place,['Rock'],2014-10-15,7.2
Kevin Drumm,Trouble,"['Electronic', 'Experimental', 'Rock']",2014-10-15,7.8
Unwound,No Energy,['Rock'],2014-10-15,8.6
Pharmakon,Bestial Burden,['Experimental'],2014-10-15,8.4
Meatbodies,Meatbodies,['Rock'],2014-10-14,7.5
Kleerup,As If We Never Won,['Pop/R&B'],2014-10-14,5.7
Cut Hands,Festival of the Dead,[],2014-10-14,6.5
Boards of Canada,Hi Scores EP,['Electronic'],2014-10-14,8.7
Vince Staples,Hell Can Wait EP,['Rap'],2014-10-14,8.5
Xylouris White,Goats,[],2014-10-13,7.4
Absolutely Free,Absolutely Free,[],2014-10-13,7.5
Dads,I'll Be the Tornado,[],2014-10-13,7.5
Stars,No One Is Lost,"['Electronic', 'Rock']",2014-10-13,5.8
Foxygen,...And Star Power,['Rock'],2014-10-13,7.0
Single Mothers,Negative Qualities,['Rock'],2014-10-10,7.4
Kode9 & the Spaceape,Killing Season EP,['Electronic'],2014-10-10,7.8
Marianne Faithfull,Give My Love to London,['Rock'],2014-10-10,8.0
Vashti Bunyan,Heartleap,['Rock'],2014-10-10,7.8
Ex Hex,Rips,['Rock'],2014-10-10,8.4
Darkspace,Dark Space III I,[],2014-10-09,7.9
Sam Amidon,Lily-O,['Rock'],2014-10-09,5.9
Tinashe,Aquarius,['Pop/R&B'],2014-10-09,7.5
SBTRKT,Wonder Where We Land,"['Electronic', 'Rock']",2014-10-09,5.5
Iceage,Plowing Into the Field of Love,['Rock'],2014-10-09,8.5
Nocturnal Poisoning,Doomgrass,[],2014-10-08,3.0
Excepter,Familiar,"['Experimental', 'Rock']",2014-10-08,7.8
The Vaselines,V for Vaselines,"['Experimental', 'Rock']",2014-10-08,7.3
Underworld,Dubnobasswithmyheadman (20th Anniversary Remaster),['Electronic'],2014-10-08,9.2
Zola Jesus,Taiga,['Electronic'],2014-10-08,5.9
Inspiral Carpets,Inspiral Carpets,['Rock'],2014-10-07,4.2
The Rural Alberta Advantage,Mended With Gold,['Rock'],2014-10-07,6.9
Steve Gunn,Way Out Weather,['Folk/Country'],2014-10-07,8.0
Johnny Marr,Playland,['Rock'],2014-10-07,4.6
Caribou,Our Love,['Rock'],2014-10-07,8.6
Pissed Jeans,Shallow,['Rock'],2014-10-06,7.8
Sun Ra and His Arkestra,In the Orbit of Ra,['Jazz'],2014-10-06,8.8
Peaking Lights,Cosmic Logic,['Electronic'],2014-10-06,6.5
Godflesh,A World Lit Only by Fire,['Metal'],2014-10-06,8.0
Flying Lotus,You're Dead!,['Electronic'],2014-10-06,8.3
DJ Spoko,War God,['Electronic'],2014-10-03,7.1
Luke James,Luke James,[],2014-10-03,7.7
PC Worship,Social Rust,['Rock'],2014-10-03,7.8
Birdman,Tha Tour Part 1,"['Pop/R&B', 'Rap']",2014-10-03,8.0
Prince,Art Official Age,"['Pop/R&B', 'Rock']",2014-10-03,6.5
milo,a toothpaste suburb,['Rap'],2014-10-02,7.8
Steve Reich,Radio Rewrite,['Experimental'],2014-10-02,7.3
Various Artist,Work,[],2014-10-02,7.0
Fela Kuti,Vinyl Box Set 3,['Global'],2014-10-02,8.6
Weezer,Everything Will Be Alright in the End,['Rock'],2014-10-02,6.5
Electric Wizard,Time To Die,[],2014-10-01,7.9
Masters at Work,House Masters,[],2014-10-01,7.8
yMusic,Balance Problems,['Pop/R&B'],2014-10-01,7.6
Sea Oleena,Shallow,[],2014-10-01,7.1
Thom Yorke,Tomorrow's Modern Boxes,"['Electronic', 'Rock']",2014-10-01,6.3
Tove Lo,Queen of the Clouds,['Pop/R&B'],2014-09-30,7.2
Takako Minekawa,Savage Imagination,"['Electronic', 'Rock']",2014-09-30,6.6
The Aislers Set,Terrible Things Happen,['Rock'],2014-09-30,7.8
The Drums,Encyclopedia,['Pop/R&B'],2014-09-30,5.9
Hudson Mohawke,Chimes EP,['Electronic'],2014-09-30,6.7
Alice Gerrard,Follow the Music,[],2014-09-29,7.4
The History of Apple Pie,Feel Something,['Rock'],2014-09-29,6.0
NehruvianDOOM,NehruvianDOOM,['Rap'],2014-09-29,5.6
Oasis,(What's the Story) Morning Glory?,['Rock'],2014-09-29,8.9
Christopher Owens,A New Testament,['Rock'],2014-09-29,6.7
Witch Mountain,Mobile of Angels,[],2014-09-26,7.6
Joan Shelley,Electric Ursa,['Folk/Country'],2014-09-26,7.9
Z,Visions of Dune,[],2014-09-26,7.7
S,Cool Choices,[],2014-09-26,6.4
The Smashing Pumpkins,Adore,['Rock'],2014-09-26,8.5
Lydia Ainsworth,Right from Real,['Experimental'],2014-09-25,7.9
TOKiMONSTA,Desiderium,['Electronic'],2014-09-25,6.4
Freeway,Highway Robbery,['Rap'],2014-09-25,7.9
Mapei,Hey Hey,['Pop/R&B'],2014-09-25,4.8
Julian Casablancas,Tyranny,"['Electronic', 'Rock']",2014-09-25,4.9
Arp,Pulsars e Quasars EP,['Electronic'],2014-09-24,6.7
Laetitia Sadier,Something Shines,"['Experimental', 'Rock']",2014-09-24,6.7
Yung Lean,Unknown Memory,['Rap'],2014-09-24,3.6
Bonnie “Prince” Billy,Singer's Grave a Sea of Tongues,['Folk/Country'],2014-09-24,6.9
Leonard Cohen,Popular Problems,['Rock'],2014-09-24,7.6
Mary Lattimore,Slant of Light,['Experimental'],2014-09-23,7.5
GOAT,Commune,['Experimental'],2014-09-23,7.3
Suicideyear,Remembrance EP,['Electronic'],2014-09-23,7.3
alt-J,This Is All Yours,['Rock'],2014-09-23,4.0
Perfume Genius,Too Bright,['Pop/R&B'],2014-09-23,8.5
Salt Cathedral,Oom Velt EP,[],2014-09-22,6.9
Whirr,Sway,['Rock'],2014-09-22,6.9
King Tuff,Black Moon Spell,['Rock'],2014-09-22,6.4
Various Artist,Hyperdub 10.3,[],2014-09-22,6.5
Aphex Twin,Syro,['Electronic'],2014-09-22,8.7
Dan'l Boone,Dan'l Boone,[],2014-09-19,7.6
Foxes in Fiction,Ontario Gothic,['Pop/R&B'],2014-09-19,6.3
Myrkur,Myrkur,['Metal'],2014-09-19,5.9
Youth Code,A Place to Stand EP,"['Electronic', 'Metal']",2014-09-19,6.8
Shellac,Dude Incredible,['Rock'],2014-09-19,8.0
Mecca Normal,Empathy for the Evil,['Rock'],2014-09-18,6.7
Los Angeles Police Department,Los Angeles Police Department,['Rock'],2014-09-18,7.5
So Cow,The Long Con,['Rock'],2014-09-18,6.9
This Will Destroy You,Another Language,"['Metal', 'Rock']",2014-09-18,7.2
Purling Hiss,Weirdon,['Rock'],2014-09-18,7.5
Ides of Gemini,Old World New Wave,[],2014-09-17,6.0
Matthew Shipp,I've Been to Many Places,"['Experimental', 'Jazz']",2014-09-17,7.8
Anjou,Anjou,[],2014-09-17,6.8
Call Super,Suzi Ecto,['Electronic'],2014-09-17,7.7
Tweedy,Sukierae,['Rock'],2014-09-17,7.3
Iron Reagan,The Tyranny of Will,['Metal'],2014-09-16,6.2
Various Artist,Vibe 2,[],2014-09-16,7.8
Royal Blood,Royal Blood,['Rock'],2014-09-16,5.6
Moonface,City Wrecker EP,['Rock'],2014-09-16,6.8
Mr Twin Sister,Mr Twin Sister,['Pop/R&B'],2014-09-16,8.1
Hamish Kilgour,All of It and Nothing,[],2014-09-15,6.4
Shintaro Sakamoto,Let's Dance Raw,['Rock'],2014-09-15,7.1
Vessel,"Punish, Honey",[],2014-09-15,7.3
My Brightest Diamond,This Is My Hand,['Rock'],2014-09-15,7.0
Ryan Adams,Ryan Adams,['Rock'],2014-09-15,6.0
Krieg,Transient,[],2014-09-12,8.0
The Ukiah Drag,In the Reaper's Quarters,[],2014-09-12,7.2
Jhené Aiko,Souled Out,['Pop/R&B'],2014-09-12,6.5
Simian Mobile Disco,Whorl,"['Electronic', 'Rock']",2014-09-12,6.5
U2,Songs of Innocence,['Rock'],2014-09-12,4.6
Jo Johnson,Weaving,[],2014-09-11,7.7
Lee Gamble,KOCH,['Electronic'],2014-09-11,7.2
Ballet School,The Dew Lasts an Hour,[],2014-09-11,6.2
Tennis,Ritual in Repeat,['Rock'],2014-09-11,7.0
Death From Above 1979,The Physical World,['Rock'],2014-09-11,7.0
Various Artist,Tliltic Tlapoyauak,[],2014-09-10,6.6
Wara From the NBHD,Kidnapped,[],2014-09-10,7.7
Sloan,Commonwealth,['Rock'],2014-09-10,6.9
Avi Buffalo,At Best Cuckold,"['Experimental', 'Rock']",2014-09-10,7.2
Karen O,Crush Songs,['Rock'],2014-09-10,5.8
Aby Ngana Diop,Liital,[],2014-09-09,8.0
Tricky,Adrian Thaws,['Electronic'],2014-09-09,4.8
Robert Plant,lullaby and... The Ceaseless Roar,['Rock'],2014-09-09,7.0
Hiss Golden Messenger,Lateness of Dancers,['Folk/Country'],2014-09-09,7.6
Banks,Goddess,['Pop/R&B'],2014-09-09,5.0
SHXCXCHCXSH,Linear S Decoded,[],2014-09-08,7.3
Mazes,Wooden Aquarium,['Rock'],2014-09-08,6.7
Jennifer Castle,Pink City,[],2014-09-08,7.9
Ital,Endgame,['Electronic'],2014-09-08,6.5
Interpol,El Pintor,['Rock'],2014-09-08,5.9
Roman Flügel,Happiness Is Happening,['Electronic'],2014-09-05,8.1
Zammuto,Anchor,['Electronic'],2014-09-05,5.1
Mutual Benefit,Cowboy's Prayer EP,['Folk/Country'],2014-09-05,6.3
Jeezy,Seen It All: The Autobiography,['Rap'],2014-09-05,6.0
Earth,Primitive and Deadly,['Metal'],2014-09-05,7.0
Game Theory,Blaze of Glory,[],2014-09-04,7.2
Sinkane,Mean Love,['Electronic'],2014-09-04,7.2
YOB,Clearing the Path to Ascend,"['Metal', 'Rock']",2014-09-04,8.2
iLoveMakonnen,iLoveMakonnen EP,['Rap'],2014-09-04,8.0
M83,M83,"['Electronic', 'Rock']",2014-09-04,6.5
Moon Duo,Live in Ravenna,['Rock'],2014-09-03,7.4
Helado Negro,Double Youth,['Electronic'],2014-09-03,7.5
Sinoia Caves,Beyond the Black Rainbow OST,['Rock'],2014-09-03,8.1
Raury,Indigo Child,['Rap'],2014-09-03,6.5
Blonde Redhead,Barragán,['Rock'],2014-09-03,4.3
Mono/Poly,Golden Skies,[],2014-09-02,7.3
Music Blues,Things Haven't Gone Well,[],2014-09-02,6.0
Half Japanese,Overjoyed,['Rock'],2014-09-02,6.8
Cassie Ramone,The Time Has Come,['Rock'],2014-09-02,6.7
The Juan MacLean,In A Dream,"['Electronic', 'Rock']",2014-09-02,7.4
Wiz Khalifa,Blacc Hollywood,['Rap'],2014-08-29,5.6
DJ Mustard,10 Summers,['Rap'],2014-08-29,7.7
Mick Jenkins,The Water[s],['Rap'],2014-08-29,7.8
Cymbals Eat Guitars,LOSE,['Rock'],2014-08-29,8.2
Ariana Grande,My Everything,['Pop/R&B'],2014-08-29,7.7
Twerps,Underlay EP,['Rock'],2014-08-28,7.4
Bitchin Bajas,Bitchin Bajas,['Experimental'],2014-08-28,7.5
Opeth,Pale Communion,['Metal'],2014-08-28,4.3
J Mascis,Tied to a Star,"['Experimental', 'Rock']",2014-08-28,6.4
Merchandise,After the End,['Rock'],2014-08-28,7.0
Il Sogno del Marinaio,Canto Secondo,[],2014-08-27,6.5
Dark Sky,Imagin,"['Electronic', 'Rock']",2014-08-27,5.9
The Wytches,Annabel Dream Reader,[],2014-08-27,5.8
Basement Jaxx,Junto,['Electronic'],2014-08-27,6.5
Rustie,Green Language,['Electronic'],2014-08-27,7.2
Marcel Dettmann,Fabric 77,['Electronic'],2014-08-26,7.1
Robyn Hitchcock,The Man Upstairs,['Rock'],2014-08-26,6.3
Cold Specks,Neuroplasticity,[],2014-08-26,7.4
The Bug,Angels & Devils,['Electronic'],2014-08-26,6.7
Ty Segall,Manipulator,['Rock'],2014-08-26,7.8
Alraune,The Process of Self-Immolation,[],2014-08-25,7.5
Wand,Ganglion Reef,['Rock'],2014-08-25,7.4
Connections,Into Sixes,[],2014-08-25,6.8
Jason Feathers,De Oro,[],2014-08-25,3.5
The New Pornographers,Brill Bruisers,['Rock'],2014-08-25,7.7
Castanets,Decimation Blues,['Rock'],2014-08-15,5.9
Literature,Chorus,[],2014-08-15,7.1
The Young,Chrome Cactus,['Rock'],2014-08-15,3.5
Susanna,Meshes of Voice,"['Electronic', 'Experimental']",2014-08-15,8.2
JJ,V,"['Electronic', 'Rock']",2014-08-15,6.7
Black Rain,Dark Pool,[],2014-08-14,7.5
Kimbra,The Golden Echo,['Pop/R&B'],2014-08-14,4.3
Wire,Document and Eyewitness,['Rock'],2014-08-14,6.0
Willis Earl Beal,Experiments in Time,['Experimental'],2014-08-14,5.0
Sinéad O'Connor,"I'm Not Bossy, I'm the Boss",['Rock'],2014-08-14,7.3
Tashi Dorji,Tashi Dorji,[],2014-08-13,7.1
Fat White Family,Champagne Holocaust,['Rock'],2014-08-13,6.6
Coachwhips,Get Yer Body Next Ta Mine,"['Electronic', 'Experimental', 'Rock']",2014-08-13,8.0
The Gaslight Anthem,Get Hurt,['Rock'],2014-08-13,3.0
The Rentals,Lost in Alphaville,['Rock'],2014-08-13,6.9
Mirel Wagner,When the Cellar Children See the Light of Day,['Rock'],2014-08-12,7.2
B L A C K I E,Imagine Yourself in a Free and Natural World,[],2014-08-12,7.3
Childhood,Lacuna,[],2014-08-12,6.1
FaltyDL,In The Wild,['Electronic'],2014-08-12,7.0
Pallbearer,Foundations of Burden,['Metal'],2014-08-12,8.6
Zeitkratzer,Metal Machine Music,[],2014-08-11,7.6
Operators,EP1,['Rock'],2014-08-11,6.8
Moiré,Shelter,[],2014-08-11,7.6
Porter Robinson,Worlds,['Electronic'],2014-08-11,6.9
FKA twigs,LP1,"['Electronic', 'Pop/R&B']",2014-08-11,8.8
Coliseum,Coliseum,['Rock'],2014-08-08,7.8
Lil Silva,Mabel EP,"['Electronic', 'Rap']",2014-08-08,5.1
PARTYNEXTDOOR,PARTYNEXTDOOR TWO,['Pop/R&B'],2014-08-08,6.8
Electric Würms,"Musik, die Schwer zu Twerk",['Rock'],2014-08-08,6.5
Kenny Dope,Wild Style Breakbeats,[],2014-08-08,8.4
Martyrdöd,Elddop,[],2014-08-07,7.8
Desertshore,Migrations of Glass,[],2014-08-07,7.2
King Louie,Tony,['Rap'],2014-08-07,7.9
Mozart’s Sister,Being,['Rock'],2014-08-07,6.4
Nachtmystium,The World We Left Behind,"['Metal', 'Rock']",2014-08-07,3.9
Abysmal Lord,Storms of Unholy Black Mass,[],2014-08-06,6.0
Adult Jazz,Gist Is,['Rock'],2014-08-06,7.4
Twin Peaks,Wild Onion,['Rock'],2014-08-06,6.9
The Rosebuds,Sand + Silence,['Rock'],2014-08-06,5.1
Naomi Punk,Television Man,['Rock'],2014-08-06,7.9
DAMA/LIBRA,Claw,[],2014-08-05,7.1
Hideki Kaji,Ice Cream Man,[],2014-08-05,6.5
The #1s,The Number Ones,[],2014-08-05,7.9
Spider Bags,Frozen Letter,['Rock'],2014-08-05,6.2
Bear in Heaven,Time Is Over One Day Old,['Rock'],2014-08-05,5.9
Various Artist,Music From The Mountain Provinces,[],2014-08-04,7.1
Apache Dropout,Heavy Window,"['Electronic', 'Rock']",2014-08-04,7.2
Geoffrey O'Connor,Fan Fiction,[],2014-08-04,7.4
David Kilgour and the Heavy Eights,End Times Undone,[],2014-08-04,6.9
Spoon,They Want My Soul,['Rock'],2014-08-04,8.6
Various Artist,Late Night Tales Presents After Dark: Nightshift,[],2014-08-01,7.4
Stardeath and White Dwarfs,Wastoid,['Rock'],2014-08-01,5.7
Dikembe,Mediumship,['Rock'],2014-08-01,6.6
Wolfgang Voigt,Rückverzauberung 9 / Musik Für Kulturinstitutionen,['Electronic'],2014-08-01,7.8
Lewis,Romantic Times,['Pop/R&B'],2014-08-01,8.1
Novembers Doom,Bled White,[],2014-07-31,6.8
Lawrence English,Wilderness of Mirrors,['Rock'],2014-07-31,7.5
Puce Mary,Persona,[],2014-07-31,6.7
Hanssen,Seven Years Week,[],2014-07-31,7.0
Jenny Lewis,The Voyager,['Rock'],2014-07-31,7.2
Zackey Force Funk,Money Green Viper,[],2014-07-30,6.6
Actual Water,Call 4 Fun,[],2014-07-30,7.4
Default Genders,Magical Pessimism 2014,[],2014-07-30,5.6
The Raveonettes,Pe'ahi,['Rock'],2014-07-30,6.3
Various Artist,Beck Song Reader,[],2014-07-30,4.5
Mutilation Rites,Harbinger,['Metal'],2014-07-29,7.5
Jim-E Stack,Tell Me I Belong,[],2014-07-29,6.5
Naomi Shelton & The Gospel Queens,Cold World,[],2014-07-29,7.3
11:11,11 11,[],2014-07-29,4.9
The Unicorns,Who Will Cut Our Hair When We're Gone?,"['Experimental', 'Rock']",2014-07-29,8.9
Gene the Southern Child,Southern Meridian,[],2014-07-28,7.0
UltraMantis Black,UltraMantis Black,[],2014-07-28,7.4
The Muffs,Whoop Dee Doo,['Rock'],2014-07-28,7.5
Hooray For Earth,Racy,['Rock'],2014-07-28,6.4
Shabazz Palaces,Lese Majesty,['Rap'],2014-07-28,8.2
Drcarlsonalbion,Gold,[],2014-07-25,7.2
The Acid,Liminal,['Rock'],2014-07-25,6.7
The Black Angels,Clear Lake Forest,"['Electronic', 'Rock']",2014-07-25,6.6
Common,Nobody's Smiling,['Rap'],2014-07-25,7.7
Jeremih,No More EP,"['Pop/R&B', 'Electronic']",2014-07-25,6.1
Daniel Bachman,Orange Co. Serenade,['Folk/Country'],2014-07-24,6.8
Melted Toys,Melted Toys,[],2014-07-24,6.3
White Fence,For the Recently Found Innocent,['Rock'],2014-07-24,7.0
Tessela,Rough 2 EP,[],2014-07-24,6.8
Various Artist,Country Funk Volume II 1967-1974,[],2014-07-24,7.6
Luluc,Passerby,[],2014-07-23,4.9
Landlady,Upright Behavior,['Rock'],2014-07-23,7.4
FREEMAN,FREEMAN,[],2014-07-23,6.5
The Amazing Snakeheads,Amphetamine Ballads,[],2014-07-23,6.4
La Roux,Trouble in Paradise,"['Electronic', 'Rock']",2014-07-23,6.5
Goatwhore,Constricting Rage of the Merciless,['Metal'],2014-07-22,7.0
James Blackshaw,Fantômas: Le Faux Magistrat,['Folk/Country'],2014-07-22,6.6
Anna Calvi,Strange Weather EP,['Pop/R&B'],2014-07-22,6.3
PS I Love You,For Those Who Stay,['Rock'],2014-07-22,6.3
Various Artist,Wish I Was Here (Music From the Motion Picture),[],2014-07-22,2.0
Trepaneringsritualen,Perfection & Permanence,[],2014-07-21,6.6
Liam Betson,The Cover of Hunter,[],2014-07-21,7.3
Alvvays,Alvvays,['Rock'],2014-07-21,7.6
Various Artist,Hyperdub 10.2,[],2014-07-21,6.7
Joyce Manor,Never Hungover Again,['Rock'],2014-07-21,7.8
Wreck and Reference,Want,['Metal'],2014-07-17,7.7
Mr. Dream,Ultimate in Luxury,['Rock'],2014-07-17,6.1
Honeyblood,Honeyblood,['Rock'],2014-07-17,6.8
Anand Wilder,Break Line the Musical,[],2014-07-17,3.8
AraabMuzik,For Professional Use Only 2,['Electronic'],2014-07-17,6.4
BeatKing,Gangsta Stripper Music 2,['Rap'],2014-07-16,7.5
United Waters,Sunburner,[],2014-07-16,7.7
Rioux,Here Comes Now,[],2014-07-16,7.2
Seven Davis Jr.,Friends EP,['Electronic'],2014-07-16,7.9
Cocteau Twins,Blue Bell Knoll,['Rock'],2014-07-16,8.3
Peter Murphy,Lion,['Rock'],2014-07-15,7.5
Sons of Magdalene,Move to Pain,[],2014-07-15,6.0
Woman's Hour,Conversations,[],2014-07-15,6.3
DJ Dodger Stadium,Friend of Mine,['Electronic'],2014-07-15,8.0
United Nations,The Next Four Years,[],2014-07-15,8.1
Reigning Sound,Shattered,"['Electronic', 'Rock']",2014-07-14,7.7
Matthewdavid,In My World,['Electronic'],2014-07-14,5.4
Slow Club,Complete Surrender,['Rock'],2014-07-14,7.6
Jungle,Jungle,['Pop/R&B'],2014-07-14,6.2
Morrissey,World Peace Is None of Your Business,['Rock'],2014-07-14,5.9
Steve Gunn,Cantos de Lisboa,"['Folk/Country', 'Experimental']",2014-07-11,7.2
Tonstartssbandht,Overseas,['Rock'],2014-07-11,8.0
Matt Kivel,Days of Being Wild,['Folk/Country'],2014-07-11,7.6
MellowHype,INSA,['Rap'],2014-07-11,6.6
The-Dream,Royalty: The Prequel EP,['Pop/R&B'],2014-07-11,7.1
Late Bloomer,Things Change,[],2014-07-10,7.0
Spazzkid,Promise EP,[],2014-07-10,7.4
Cold Beat,Over Me,['Rock'],2014-07-10,7.6
G-Eazy,These Things Happen,['Rap'],2014-07-10,6.1
Wolves in the Throne Room,Celestite,['Metal'],2014-07-10,4.7
Will Saul,DJ-Kicks,[],2014-07-09,6.1
SIGHS,Easy to Forget EP,[],2014-07-09,7.0
Black Anvil,Hail Death,['Metal'],2014-07-09,7.5
Babe Rainbow,Falling Apart,['Electronic'],2014-07-09,6.5
Herbert,Part 6 EP,['Electronic'],2014-07-09,6.7
Various Artist,Calypso: Musical Poetry in the Caribbean 1955-69,[],2014-07-08,6.3
The Skygreen Leopards,Family Crimes,"['Experimental', 'Rock']",2014-07-08,7.2
The Proper Ornaments,Wooden Head,['Rock'],2014-07-08,7.0
Kyary Pamyu Pamyu,Pika Pika Fantajin,['Pop/R&B'],2014-07-08,6.7
Braid,No Coast,"['Metal', 'Rock']",2014-07-08,7.7
NONONO,We Are Only What We Feel,[],2014-07-07,5.8
What Moon Things,What Moon Things,[],2014-07-07,7.3
Fhloston Paradigm,The Phoenix,['Electronic'],2014-07-07,6.7
Kasai Allstars,Beware the Fetish,['Global'],2014-07-07,7.2
Viet Cong,"""Cassette"" EP",['Rock'],2014-07-07,7.8
Serpentine Path,Emanations,[],2014-07-02,7.7
The Vacant Lots,Departure,['Rock'],2014-07-02,5.2
Various Artist,Brothers & Sisters,[],2014-07-02,7.9
Godflesh,Decline and Fall EP,['Metal'],2014-07-02,7.9
Brian Eno,High Life,['Experimental'],2014-07-02,8.5
Motion Sickness of Time Travel,Alpha Piscium,[],2014-07-01,7.8
OOIOO,Gamel,"['Experimental', 'Rock']",2014-07-01,7.2
Luke Abbott,Wysing Forest,['Electronic'],2014-07-01,6.7
Beverly,Careers,[],2014-07-01,6.4
Mark Kozelek,Live at Biko,['Rock'],2014-07-01,7.8
Dalhous,Will To Be Well,[],2014-06-30,7.5
Eaters,Eaters,[],2014-06-30,6.4
Cabaret Voltaire,#7885 (Electropunk to Technopop 1978-1985),[],2014-06-30,7.8
Plastikman,EX,['Electronic'],2014-06-30,6.5
Caustic Window,Caustic Window LP,[],2014-06-30,8.1
Old 97's,Most Messed Up,['Rock'],2014-06-27,6.4
Trap Them,Blissfucker,"['Metal', 'Rock']",2014-06-27,7.3
Mike Cooper,Trout Steel,['Experimental'],2014-06-27,8.6
Circulatory System,Mosaics Within Mosaics,"['Experimental', 'Rock']",2014-06-27,7.9
RiFF RAFF,NEON iCON,['Rap'],2014-06-27,5.4
Ulises Conti,The Greeks Believed That the Stars Were Small Holes Where the Gods Listened to Men,[],2014-06-26,7.5
White Reaper,White Reaper EP,['Rock'],2014-06-26,6.6
Craig Leon,Anthology of Interplanetary Folk Music Vol. 1: Nommos/Visiting,[],2014-06-26,8.4
Total Control,Typical System,['Rock'],2014-06-26,8.0
Ab-Soul,These Days...,['Rap'],2014-06-26,7.7
Eyehategod,Eyehategod,[],2014-06-25,8.0
Peter Matthew Bauer,Liberation!,['Rock'],2014-06-25,7.2
Alexis Taylor,Await Barbarians,['Electronic'],2014-06-25,5.9
Black Bananas,Electric Brick Wall,['Rock'],2014-06-25,7.7
Mastodon,Once More 'Round the Sun,['Metal'],2014-06-25,6.3
