artist,album,freq_xxl
Fallstar,Reconciler. Refiner. Igniter.,0
Dia Frampton,Red,0
Reece Mastin,Reece Mastin,0
Tedeschi Trucks Band,Revelator,1
We Are Augustines,Rise Ye Sunken Ships,0
Deafheaven,Roads to Judah,0
Smoke DZA,Rolling Stoned,5
Ronan Parke,Ronan Parke,0
Ronnie Dunn,Ronnie Dunn,0
Runner Runner,Runner Runner,90
Mr. Envi',Rydaz Redemption,0
Ivi Adamou,San Ena Oniro,0
Alexandra Stan,Saxobeats,0
SBTRKT,SBTRKT,10
Bewized,The Scorch of Rage,0
Icon for Hire,Scripted,3
Kendrick Lamar,Section.80,49
Jessica 6,See the Light,120
Seeker Lover Keeper,Seeker Lover Keeper,0
Selah Sue,Selah Sue,1
Sepalcure,Sepalcure,0
The Rubberbandits,Serious About Men,29
ScHoolboy Q,Setbacks,511
Kuedo,Severant,0
Title Fight,Shed,61
Mary-Jess Leaverland,Shine,0
X-Pistols,Shoot To Kill,9
Kristoffer Kompen Quartet,Short Stories of Happiness,0
Six60,Six60,0
Sistar,So Cool,874
Cecimonster Vs. Donka,Solara,0
Somedaydream,Somedaydream,0
Black Spiders,Sons of the North,177
Patrick Stump,Soul Punk,2
This Century,Sound of Fire,175
Nicolas Jaar,Space Is Only Noise,2
Battle Beast,Steel,12
The Stellas,The Stellas,0
The Stepkids,The Stepkids,0
Rizzle Kicks,Stereo Typical,0
Cher Lloyd,Sticks and Stones,0
Airship,Stuck in This Ocean,2
Wolf Gang,Suego Faults,0
Tidal Arms,The Sun Exploding,0
Paradise Oskar,Sunday Songs,2
SuperHeavy,SuperHeavy,0
Wizkid,Superstar,774
Noctura,Surrender the Sun,2
DyE,Taki 183,1
MEN,Talk About Body,208
That's Outrageous!,Teenage Scream,0
Schenker's Temple of Rock,Temple of Rock,6
Fly Union,TGTC (The Greater Than Club),2
Thees Uhlmann,Thees Uhlmann,0
Phinehas,Thegodmachine,0
The Groggers,There's No 'I' in Cherem,900
Dillon,This Silence Kills,0
Thompson Square,Thompson Square,1
Thyresis,Thyresis,0
Theophilus London,Timez Are Weird These Days,9
Brothers Reid,Top of the Old Road,96
Lucy Spraggan,Top Room at the Zoo,2
Marcelo Camelo,Toque Dela,0
Foster the People,Torches,10
SebastiAn,Total,669
Aaron Lewis,Town Line,1
Mr. Dream,TrashHit,19
Dynasty,Truer Living with a Youthful Vengeance,0
We Are Defiance,Trust in Few,1305
Ulrik Munther,Ulrik Munther,0
Papa vs Pretty,United in Isolation,2
Unknown Mortal Orchestra,Unknown Mortal Orchestra,5
Snow Tha Product,Unorthodox,33
One Direction,Up All Night,1118
V. Rose,V. Rose,9
Volumes,Via,2692
Max B,Vigilante Season,16
Esben and the Witch,Violet Cries,0
After School,Virgin,707
Verbal,Visionair,85
Kimbra,Vows,41
The Sound of Arrows,Voyage,1
Warr Acres,Warr Acres,0
Swimming With Dolphins,Water Colours,0
Raleigh Moncrief,Watered Lawn,0
Wolfgang Gartner,Weekend in America,1
Hyland,Weights & Measures,17
Nero,Welcome Reality,17
Tim Bendzko,Wenn Worte meine Sprache waren,0
Chris Medina,What Are Words,30
Ashes Remain,What I've Become,1
Nothing Til Blood,When Lambs Become Lions,0
Jessie J,Who You Are,400
Widowspeak,Widowspeak,0
Wild Flag,Wild Flag,2
Lauren Alaina,Wildflower,0
A Winged Victory for the Sullen,A Winged Victory for the Sullen,0
Washed Out,Within and Without,104
Kimberly Caldwell,Without Regret,1
Thomas Ring Petersen,Wrong Side of the Daylight,0
Xavier and Ophelia,Xavier & Ophelia,46
Youth Lagoon,The Year of Hibernation,252
SNO (Lil Wyte JellyRoll BPZ),Year Round,0
Jack Vidgen,Yes I am,0
Charlie Simpson,Young Pilgrim,3
Young Statues,Young Statues,1
Yamantaka // Sonic Titan,YT//ST,0
Yuck,Yuck,14
Zoe Badwi,Zoe,51
Demy,#1,0
Mac DeMarco,2,163
Summer Heart,About a Feeling,227
Willis Earl Beal,Acousmatic Sorcery,0
RNDM,Acts,748
Alice Caymmi,Alice Caymmi,0
Titanium,All for You,7976
Tremonti,All I Was,5931
Dog Is Dead,All Our Favourite Stories,21
Allen Stone,Allen Stone,3
Howler,America Give Up,101
Dads,American Radass (This Is Important),52
The D.O.T.,And That,22297
Ania Teliczan,Ania Teliczan,0
Pure Love,Anthems,98
Hammercult,Anthems of the Damned,0
Anywhere,Anywhere,190
California Wives,Art History,13
Secrets,The Ascent,129
Attaloss,ATTALOSS,0
Don Broco,Automatic,1
Koncept,Awaken,52
THEESatisfaction,awE naturalE,0
alt-J,An Awesome Wave,1
Primal Rock Rebellion,Awoken Broken,0
Adler,Back from the Dead,344
Caligola,Back to Earth,142
Cover Drive,Bajan Style,5
Alex Ferrari,Bara Bere,0
2 Chainz,Based on a T.R.U. Story,195
DeStorm Power hosted by DJ Whoo Kid,Be Careful,3
The 2 Bears,Be Strong,196
Liberteer,Better to Die on Your Feet Than Live on Your Knees,35
Matthew E. White,Big Inner,2
Chris Robinson Brotherhood,Big Moon Ritual,0
ClariS,Birthday,1162
Gary Clark Jr.,Blak and Blu,16
Blank Banshee,Blank Banshee 0,0
Never A Hero,Bleed Between The Lies,29
The Dunwells,Blind Sighted Faith,0
