artist,album,freq_genius
Dia Frampton,Red,0
Reece Mastin,Reece Mastin,0
Tedeschi Trucks Band,Revelator,0
We Are Augustines,Rise Ye Sunken Ships,0
Deafheaven,Roads to Judah,0
Smoke DZA,Rolling Stoned,0
Ronan Parke,Ronan Parke,0
Ronnie Dunn,Ronnie Dunn,0
Runner Runner,Runner Runner,0
Mr. Envi',Rydaz Redemption,0
Ivi Adamou,San Ena Oniro,0
Alexandra Stan,Saxobeats,0
SBTRKT,SBTRKT,0
Bewized,The Scorch of Rage,0
Icon for Hire,Scripted,0
Kendrick Lamar,Section.80,0
Jessica 6,See the Light,0
Seeker Lover Keeper,Seeker Lover Keeper,0
Selah Sue,Selah Sue,0
Sepalcure,Sepalcure,0
The Rubberbandits,Serious About Men,0
ScHoolboy Q,Setbacks,0
Kuedo,Severant,0
Title Fight,Shed,0
Mary-Jess Leaverland,Shine,0
X-Pistols,Shoot To Kill,0
Kristoffer Kompen Quartet,Short Stories of Happiness,0
Six60,Six60,0
Sistar,So Cool,0
Cecimonster Vs. Donka,Solara,0
Somedaydream,Somedaydream,0
Black Spiders,Sons of the North,0
Patrick Stump,Soul Punk,0
This Century,Sound of Fire,0
Nicolas Jaar,Space Is Only Noise,0
Battle Beast,Steel,0
The Stellas,The Stellas,0
The Stepkids,The Stepkids,0
Rizzle Kicks,Stereo Typical,0
Cher Lloyd,Sticks and Stones,0
Airship,Stuck in This Ocean,0
Wolf Gang,Suego Faults,0
Tidal Arms,The Sun Exploding,0
Paradise Oskar,Sunday Songs,0
SuperHeavy,SuperHeavy,0
Wizkid,Superstar,0
Noctura,Surrender the Sun,0
DyE,Taki 183,0
MEN,Talk About Body,0
That's Outrageous!,Teenage Scream,0
Schenker's Temple of Rock,Temple of Rock,0
Fly Union,TGTC (The Greater Than Club),0
Thees Uhlmann,Thees Uhlmann,0
Phinehas,Thegodmachine,0
The Groggers,There's No 'I' in Cherem,0
Dillon,This Silence Kills,0
Thompson Square,Thompson Square,0
Thyresis,Thyresis,0
Theophilus London,Timez Are Weird These Days,0
Brothers Reid,Top of the Old Road,0
Lucy Spraggan,Top Room at the Zoo,0
Marcelo Camelo,Toque Dela,0
Foster the People,Torches,0
SebastiAn,Total,0
Aaron Lewis,Town Line,0
Mr. Dream,TrashHit,0
Dynasty,Truer Living with a Youthful Vengeance,0
We Are Defiance,Trust in Few,0
Ulrik Munther,Ulrik Munther,0
Papa vs Pretty,United in Isolation,0
Unknown Mortal Orchestra,Unknown Mortal Orchestra,0
Snow Tha Product,Unorthodox,0
One Direction,Up All Night,0
V. Rose,V. Rose,0
Volumes,Via,0
Max B,Vigilante Season,0
Esben and the Witch,Violet Cries,0
After School,Virgin,0
Verbal,Visionair,0
Kimbra,Vows,0
The Sound of Arrows,Voyage,0
Warr Acres,Warr Acres,0
Swimming With Dolphins,Water Colours,0
Raleigh Moncrief,Watered Lawn,0
Wolfgang Gartner,Weekend in America,0
Hyland,Weights & Measures,0
Nero,Welcome Reality,0
Tim Bendzko,Wenn Worte meine Sprache waren,0
Chris Medina,What Are Words,0
Ashes Remain,What I've Become,0
Nothing Til Blood,When Lambs Become Lions,0
Jessie J,Who You Are,0
Widowspeak,Widowspeak,0
Wild Flag,Wild Flag,0
Lauren Alaina,Wildflower,0
A Winged Victory for the Sullen,A Winged Victory for the Sullen,0
Washed Out,Within and Without,0
Kimberly Caldwell,Without Regret,0
Thomas Ring Petersen,Wrong Side of the Daylight,0
Xavier and Ophelia,Xavier & Ophelia,0
Youth Lagoon,The Year of Hibernation,0
SNO (Lil Wyte JellyRoll BPZ),Year Round,0
Jack Vidgen,Yes I am,0
Charlie Simpson,Young Pilgrim,0
Young Statues,Young Statues,0
Yamantaka // Sonic Titan,YT//ST,0
Yuck,Yuck,0
Zoe Badwi,Zoe,0
Demy,#1,17
Mac DeMarco,2,0
Summer Heart,About a Feeling,0
Willis Earl Beal,Acousmatic Sorcery,0
RNDM,Acts,0
Alice Caymmi,Alice Caymmi,0
Titanium,All for You,0
Tremonti,All I Was,0
Dog Is Dead,All Our Favourite Stories,0
Allen Stone,Allen Stone,0
Howler,America Give Up,0
Dads,American Radass (This Is Important),0
The D.O.T.,And That,0
Ania Teliczan,Ania Teliczan,0
Pure Love,Anthems,0
Hammercult,Anthems of the Damned,0
Anywhere,Anywhere,0
California Wives,Art History,0
Secrets,The Ascent,0
Attaloss,ATTALOSS,0
Don Broco,Automatic,0
Koncept,Awaken,0
THEESatisfaction,awE naturalE,0
alt-J,An Awesome Wave,0
Primal Rock Rebellion,Awoken Broken,0
Adler,Back from the Dead,0
Caligola,Back to Earth,0
Cover Drive,Bajan Style,0
Alex Ferrari,Bara Bere,0
2 Chainz,Based on a T.R.U. Story,1
DeStorm Power hosted by DJ Whoo Kid,Be Careful,0
The 2 Bears,Be Strong,0
Liberteer,Better to Die on Your Feet Than Live on Your Knees,0
Matthew E. White,Big Inner,0
Chris Robinson Brotherhood,Big Moon Ritual,0
ClariS,Birthday,0
Gary Clark Jr.,Blak and Blu,0
Blank Banshee,Blank Banshee 0,0
Never A Hero,Bleed Between The Lies,0
The Dunwells,Blind Sighted Faith,0
Skyharbor,Blinding White Noise: Illusion & Chaos,0
Blondes,Blondes,1
Jack White,Blunderbuss,0
Reptar,Body Faucet,0
Main Attrakionz,Bossalinis & Fooliyones,0
Grand Supreme Blood Court,Bow Down Before the Blood Court,0
Chiddy Bang,Breakfast,0
The Gaslamp Killer,Breakthrough,0
Brendon Small,Brendon Small's Galaktikon,0
Steve Harris,British Lion,0
Scott Tixier,Brooklyn Bazaar,0
Emma Hewitt,Burn The Sky Down,0
Eskimo Callboy,Bury Me in Vegas,0
The Cadillac Three,The Cadillac Three,0
Wolves at the Gate,Captors,0
Delta Rae,Carry The Fire,0
Casey Abrams,Casey Abrams,0
Casey James,Casey James,0
Glory,Celebration,0
My Tiger My Timing,Celeste,0
Kalenna Harper,Chamber of Diaries,0
Frank Ocean,Channel Orange,1
Lawson,Chapman Square,0
Zedd,Clarity,0
Jam City,Classical Curves,0
Soen,Cognitive,0
The Collective,The Collective,0
Christopher,Colours,0
Rhett Walker Band,Come to the River,0
Altars,Conclusions,0
Forever Came Calling,Contender,0
Conor Maynard,Contrast,0
Hubert Wu,Couple Getaway,0
Smitz,Cretin Crossover,0
XL,Dance All Night,0
