index,artists,albums,release_date,ratings
5083,Sunn O))),Terrestrials,05/02/2014,6.9
5084,Jerome LOL,Deleted/Fool EP,05/02/2014,7.5
5085,Mas Ysa,Worth EP,05/02/2014,7.8
5086,Xiu Xiu,Angel Guts: Red Classroom,05/02/2014,6.6
5087,Aa,VoyAager,04/02/2014,6.7
5088,DJ Dog Dick,The Life Stains,04/02/2014,6.9
5089,Aztec Camera,"High Land, Hard Rain",04/02/2014,8.3
5090,Bombay Bicycle Club,"So Long, See You Tomorrow",04/02/2014,7.7
5091,Broken Bells,After the Disco,04/02/2014,5.4
5092,CYMBALS,The Age of Fracture,03/02/2014,7.1
5093,Bohren & Der Club of Gore,Piano Nights,03/02/2014,7.3
5094,Lost in the Trees,Past Life,03/02/2014,7
5095,Snowbird,Moon,03/02/2014,6.9
5096,Sun Kil Moon,Benji,03/02/2014,9.2
5097,Julie Byrne,Rooms With Walls and Windows,31/01/2014,7.4
5098,David First,Electronic Works 1976-1977,31/01/2014,7
5099,Ty Dolla $ign,Beach House EP,31/01/2014,7.6
5100,Maximo Park,Too Much Information,31/01/2014,6.1
5101,CEO,Wonderland,31/01/2014,7.5
5102,Various Artist,Radio Niger,30/01/2014,7.3
5103,Jess Williamson,Native State,30/01/2014,7.4
5104,Tink,Winter's Diary 2,30/01/2014,7.6
5105,Quilt,Held In Splendor,30/01/2014,7
5106,Uncle Tupelo,No Depression: Legacy Edition,30/01/2014,8.4
5107,Gem Club,In Roses,29/01/2014,7.1
5108,Stefan Jaworzyn,Drained of Connotation,29/01/2014,6.5
5109,Supreme Cuts,Divine Ecstasy,29/01/2014,4.2
5110,Bibio,The Green EP,29/01/2014,6
5111,Lambchop,Nixon,29/01/2014,8.3
5112,Demilich,20th Adversary of Emptiness,28/01/2014,8
5113,Cashmere Cat,Wedding Bells EP,28/01/2014,5.9
5114,Pontiak,INNOCENCE,28/01/2014,6
5115,Actress,Ghettoville,28/01/2014,6.7
5116,Four Tet,Thirtysixtwentyfive,28/01/2014,6
5117,Argentinum Astrum,Malleus Maleficarum,27/01/2014,6.5
5118,Morgan Delt,Morgan Delt,27/01/2014,7.6
5119,Hospitality,Trouble,27/01/2014,7.5
5120,Cities Aviv,Come to Life,27/01/2014,7.3
5121,Dum Dum Girls,Too True,27/01/2014,7.4
5122,Step Brothers,Lord Steppington,24/01/2014,7.3
5123,Drowners,Drowners,24/01/2014,5.8
5124,Tara Jane O‰ÛªNeil,Where Shine New Lights,24/01/2014,7.9
5125,Jeremy Jay,Abandoned Apartments,24/01/2014,5.5
5126,Against Me!,Transgender Dysphoria Blues,24/01/2014,7.5
5127,Michael Yonkers,Michael Lee Yonkers,23/01/2014,6.1
5128,Indian,From All Purity,23/01/2014,8.2
5129,Damien Jurado,Brothers and Sisters of the Eternal Son,23/01/2014,7.6
5130,Nils Frahm,Spaces,23/01/2014,7.8
5131,Bill Callahan,Have Fun With God,23/01/2014,7.3
5132,Shy Boys,Shy Boys,22/01/2014,7.1
5133,Vex,Sanctuary: The Complete Discography,22/01/2014,7.4
5134,Jack Name,Light Show,22/01/2014,7
5135,Nick Drake,Tuck Box,22/01/2014,8.5
5136,Warpaint,Warpaint,22/01/2014,5.7
5137,Graze,Edges,21/01/2014,7.2
5138,Alcest,Shelter,21/01/2014,6.6
5139,Doug Paisley,Strong Feelings,21/01/2014,7.5
5140,James Vincent McMorrow,Post Tropical,21/01/2014,7.1
5141,Thee Silver Mt. Zion Memorial Orchestra,Fuck Off Get Free We Pour Light on Everything,21/01/2014,8
5142,Guerilla Toss,Gay Disco,20/01/2014,6
5143,Pangaea,Fabriclive 73,20/01/2014,7.7
5144,The John Lurie National Orchestra,The Invention of Animals,20/01/2014,7.5
5145,Various Artist,Killed by Deathrock: Vol. 1,20/01/2014,8
5146,Mogwai,Rave Tapes,20/01/2014,6
5147,Lee Bannon,Alternate / Endings,17/01/2014,6.8
5148,Big Ups,Eighteen Hours of Static,17/01/2014,7
5149,I Break Horses,Chiaroscuro,17/01/2014,5.9
5150,Mark Lanegan,Has God Seen My Shadow?: An Anthology 1989-2011,17/01/2014,7.5
5151,Hiss Golden Messenger,Bad Debt,17/01/2014,8.2
5152,Nina Kraviz,Mr. Jones EP,16/01/2014,4.5
5153,Audion,Audion X,16/01/2014,7.1
5154,Gucci Mane,The State vs. Rodric Davis II: The Caged Bird Sings,16/01/2014,5.6
5155,You Blew It!,Keep Doing What You're Doing,16/01/2014,7.6
5156,The Velvet Underground,White Light/White Heat,16/01/2014,10
5157,Fabolous,The Soul Tape 3,15/01/2014,6.2
5158,The Lucksmiths,Cartography for Beginners: A Best of the Lucksmiths,15/01/2014,7.4
5159,Peter MorÌ©n,Broken Swenglish Vol. 1 EP,15/01/2014,5.8
5160,Kool A.D.,Not O.K.,15/01/2014,6.6
5161,Sharon Jones and the Dap-Kings,Give the People What They Want,15/01/2014,7.7
5162,The Gories,The Shaw Tapes: Live in Detroit 5/27/88,14/01/2014,7
5163,Painted Palms,Forever,14/01/2014,5.7
5164,Del Tha Funkee Homosapien,Iller Than Most,14/01/2014,7.4
5165,Cybotron,Enter,14/01/2014,8.7
5166,Disclosure,Settle: The Remixes,14/01/2014,5.9
5167,Lanterns on the Lake,Until the Colours Run,13/01/2014,6.2
5168,Blank Realm,Grassed Inn,13/01/2014,8
5169,Roc Marciano,Marci Beaucoup,13/01/2014,6.8
5170,Ariel Pink,Early Live Recordings,13/01/2014,4.4
5171,Bruce Springsteen,High Hopes,13/01/2014,4
5172,Sick Thoughts,Terminal Teen Age,10/01/2014,7.7
5173,Big Business,Battlefields Forever,10/01/2014,8
5174,Self Defense Family,Try Me,10/01/2014,7.2
5175,Angel Haze,Dirty Gold,10/01/2014,5.9
5176,Pixies,EP-2,10/01/2014,2
5177,Dudley Perkins,Dr. Stokley,09/01/2014,5.8
5178,Magic Trick,River of Souls,09/01/2014,6.3
5179,Luciano Cilio,Dell‰ÛªUniverso Assente,09/01/2014,8.4
5180,Mouse on Mars,Spezmodia EP,09/01/2014,7.9
5181,Busta Rhymes,The Abstract And The Dragon,09/01/2014,6.6
5182,Way Through,Clapper Is Still,08/01/2014,7.4
5183,Ukkonen,The Ancient Tonalities Of‰Û_,08/01/2014,6.9
5184,Harold Budd,Wind In Lonely Fences 1970 - 2011,08/01/2014,7.8
5185,King L,Drilluminati 2,08/01/2014,6.7
5186,Clams Casino,Instrumental Tape 3,08/01/2014,7.2
5187,Barnett + Coloccia,Retrieval,07/01/2014,6.8
5188,Justus KÌ_hncke,Justus KÌ_hncke & the Wonderful Frequency Band,07/01/2014,6.5
5189,Various Artist,There‰Ûªs A Dream I‰Ûªve Been Saving: Lee Hazlewood Industries 1966‰ÛÒ1971,07/01/2014,7.8
5190,Various Artist,L.I.E.S. Presents: Music for Shut-Ins,07/01/2014,7.8
5191,Stephen Malkmus and the Jicks,Wig Out at Jagbags,07/01/2014,7
5192,The Verlaines,Hallelujah All the Way Home,06/01/2014,7.6
5193,Kerridge,A Fallen Empire,06/01/2014,6.7
5194,Drexciya,Journey of the Deep Sea Dweller IV,06/01/2014,7.9
5195,E-40,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",06/01/2014,7.5
5196,BeyoncÌ©,BeyoncÌ©,06/01/2014,8.8
5197,SaÌ¢da Bonaire,SaÌ¢da Bonaire,13/12/2013,7.4
5198,Bryce Hackford,Fair,13/12/2013,7
5199,Lumbar,The First And Last Days Of Unwelcome,13/12/2013,7.7
5200,The Thing,BOOT!,13/12/2013,7.7
5201,Burial,Rival Dealer EP,13/12/2013,9
5202,Zachary Cale,Blue Rider,12/12/2013,7.9
5203,Vastum,Patricidal Lust,12/12/2013,7.9
5204,Ian Isiah,The Love Champion,12/12/2013,6.6
5205,The Fall,Remainderer EP,12/12/2013,6.9
5206,Childish Gambino,because the internet,12/12/2013,5.8
5207,Ì vangelist,Omen Ex Simulacra,11/12/2013,7
5208,Ron Morelli,Spit,11/12/2013,6.2
5209,Patrick Cowley,School Daze,11/12/2013,8.3
5210,Xiu Xiu,Nina,11/12/2013,4.7
5211,Neil Young,Live at the Cellar Door,11/12/2013,7.7
5212,BjÌürn Torske,Kok EP,10/12/2013,6.5
5213,Robert Beatty,Soundtracks for Takeshi Murata,10/12/2013,6.9
5214,David Novick,David Novick,10/12/2013,7.1
5215,Various Artist,I Heard The Angels Singing: Electrifying Black Gospel,10/12/2013,8.1
5216,R. Kelly,Black Panties,10/12/2013,6.8
5217,Don Trip,Step Brothers 2,09/12/2013,7.7
5218,Inquisition,Obscure Verses for the Multiverse,09/12/2013,8.1
5219,Gardland,Syndrome Syndrome,09/12/2013,6.3
5220,Robert Pollard,Blazing Gentlemen,09/12/2013,5.7
5221,7 Days of Funk,7 Days of Funk,09/12/2013,7
5222,Bloodyminded,Within The Walls,06/12/2013,7.5
5223,Noveller,No Dreams,06/12/2013,7.2
5224,Iron Chic,The Constant One,06/12/2013,7.9
5225,Various Artist,Cosmic Machine,06/12/2013,7.6
5226,Mastodon,Live at Brixton,06/12/2013,7.6
5227,Physical Therapy,Non-Drowsy,05/12/2013,5.9
5228,patten,EOLIAN INSTATE EP,05/12/2013,6.9
5229,Ejecta,Dominae,05/12/2013,7
5230,Rhys Chatham,Harmonie du Soir,05/12/2013,7.5
5231,Bright Eyes,A Christmas Album,05/12/2013,7
5232,Vaura,The Missing,04/12/2013,7.5
5233,Heatsick,Re-Engineering,04/12/2013,6.8
5234,Kallisti,Arc of Fire EP,04/12/2013,6.7
5235,Francis and the Lights,Like a Dream EP,04/12/2013,7
5236,bEEdEEgEE,SUM/ONE,04/12/2013,6.8
5237,Capsule,CAPS LOCK,03/12/2013,6.1
5238,Mike Donovan,Wot,03/12/2013,6.4
5239,Emily Jane White,Blood/Lines,03/12/2013,6.6
5240,Flume,Lockjaw EP,03/12/2013,7
5241,Black Flag,What The...,03/12/2013,4.9
5242,Perera Elsewhere,Everlast,02/12/2013,7.8
5243,Guido,Moods of Future Joy,02/12/2013,6.3
5244,Kevin Morby,Harlem River,02/12/2013,7
5245,Phill Niblock,Touch Five,02/12/2013,7.4
5246,Nick Cave & the Bad Seeds,Live from KCRW,02/12/2013,7.8
5247,CREEP,Echoes,27/11/2013,6
5248,Beachwood Sparks,Desert Skies,27/11/2013,5
5249,Shearwater,Fellow Travelers,27/11/2013,5.8
5250,Raum,Event of Your Leaving,27/11/2013,7.9
5251,Thee Oh Sees,Singles Collection Volume 3,27/11/2013,7.8
5252,Hellfyre Club,Dorner vs. Tookie,26/11/2013,7.5
5253,Teengirl Fantasy,Nun EP,26/11/2013,6.7
5254,Gap Dream,Shine Your Light,26/11/2013,6.7
5255,Mick Turner,Don't Tell the Driver,26/11/2013,7.8
5256,Milosh,Jetlag,26/11/2013,6
5257,Jensen Sportag,Stealth of Days,25/11/2013,6.7
5258,Egyptrixx,A/B til Infinity,25/11/2013,7.8
5259,Sebastien Grainger,Yours to Discover,25/11/2013,3.9
5260,Various Artist,Purple Snow: Forecasting the Minneapolis Sound,25/11/2013,8.4
5261,Destroyer,Five Spanish Songs,25/11/2013,7.9
5262,JhenÌ© Aiko,Sail Out EP,22/11/2013,6.1
5263,Title Fight,Spring Songs EP,22/11/2013,7.2
5264,Okkyung Lee,Wake Up Awesome,22/11/2013,7.2
5265,Tindersticks,Across Six Leap Years,22/11/2013,7.4
5266,Various Artist,"The Rise & Fall of Paramount Records, Volume One (1917-1932)",22/11/2013,9.2
5267,Willie Burns,Land vs Air,21/11/2013,7.4
5268,Ricardo Donoso,"As Iron Sharpens Iron, One Verse Sharpens Another",21/11/2013,7.2
5269,Logos,Cold Mission,21/11/2013,8.1
5270,Russian Circles,Memorial,21/11/2013,7.8
5271,The Killers,Direct Hits,21/11/2013,6.4
5272,Vatican Shadow,Remember Your Black Day,20/11/2013,6.3
5273,Fins,Fins,20/11/2013,7.5
5274,Anna Calvi,One Breath,20/11/2013,6.6
5275,Excepter,Christisland,20/11/2013,6.9
5276,Soundgarden,Screaming Life/Fopp,20/11/2013,6.7
5277,Skeletonwitch,Serpents Unleashed,19/11/2013,7.5
5278,Minor Alps,Get There,19/11/2013,4.9
5279,The Stranger,Watching Dead Empires in Decay,19/11/2013,7.6
5280,Andrew Bird,I Want to See Pulaski at Night,19/11/2013,6.5
5281,Death Grips,Government Plates,19/11/2013,8.4
5282,Future of the Left,How to Stop Your Brain in an Accident,18/11/2013,7.4
5283,Fis,Preparations EP,18/11/2013,7.7
5284,Magik Markers,Surrender to the Fantasy,18/11/2013,7.9
5285,Various Artist,Saint Heron,18/11/2013,8.1
5286,Kurt Vile,Jamaica Plain EP,18/11/2013,5.4
5287,Whores,Clean,15/11/2013,6.4
5288,Cate Le Bon,Mug Museum,15/11/2013,7.3
5289,Wooden Shjips,Back to Land,15/11/2013,6.5
5290,Throwing Muses,Purgatory/Paradise,15/11/2013,8
5291,John Talabot,DJ-Kicks,15/11/2013,7.9
5292,Boogarins,As Plantas Que Curam,14/11/2013,7.1
5293,Brad Laner,Nearest Suns,14/11/2013,6.3
5294,Various Artist,I Am The Center: Private Issue New Age Music In America 1950-1990,14/11/2013,8.3
5295,Yamantaka // Sonic Titan,UZU,14/11/2013,7.8
5296,The Beatles,On Air - Live at the BBC Vol. 2,14/11/2013,7.2
5297,Skin Town,The Room,13/11/2013,7.4
5298,Gatekeeper,Young Chronos EP,13/11/2013,6.4
5299,PoliÌ_a,Shulamith,13/11/2013,7.5
5300,Various Artist,Songs for Slim: Rockin' Here Tonight,13/11/2013,7
5301,Blood Orange,Cupid Deluxe,13/11/2013,8.5
5302,Jonwayne,Rap Album One,12/11/2013,6
5303,No Joy,Pastel and Pass Out EP,12/11/2013,7.6
5304,Tennis,Small Sound EP,12/11/2013,7
5305,Moonface,Julia with Blue Jeans On,12/11/2013,7.7
5306,Songs: Ohia,Magnolia Electric Co.,12/11/2013,9
5307,Musiccargo,Harmonie,11/11/2013,7.2
5308,Connan Mockasin,Caramel,11/11/2013,6.7
5309,Luke Temple,Good Mood Fool,11/11/2013,6.5
5310,Mount Eerie,Pre-Human Ideas,11/11/2013,7.2
5311,Grizzly Bear,Shields: B-Sides,11/11/2013,7.4
5312,Luscious Jackson,Magic Hour,08/11/2013,5.6
5313,William Onyeabor,Who Is William Onyeabor,08/11/2013,8.6
5314,Kronos Quartet,Aheym,08/11/2013,7.9
5315,Gesaffelstein,Aleph,08/11/2013,7.8
5316,Swans,Not Here/Not Now,08/11/2013,8.2
5317,Latyrx,The Second Album,07/11/2013,4.8
5318,Nguzunguzu,Skycell,07/11/2013,7
5319,Matana Roberts,COIN COIN Chapter Two: Mississippi Moonchile,07/11/2013,8.1
5320,SÌ©bastien Tellier,Confection,07/11/2013,6.3
5321,Action Bronson,Blue Chips 2,07/11/2013,8
5322,Wooden Wand & The World War IV,Wooden Wand & The World War IV,06/11/2013,7.2
5323,Boldy James,My 1st Chemistry Set,06/11/2013,7.4
5324,Yvette,Process,06/11/2013,8.1
5325,Death Cab for Cutie,Transatlanticism,06/11/2013,8.4
5326,Eminem,The Marshall Mathers LP 2,06/11/2013,4.7
5327,Sapphire Slows,Allegoria,05/11/2013,7
5328,Widowspeak,The Swamps EP,05/11/2013,7.4
5329,James Ferraro,"NYC, Hell 3:00 AM",05/11/2013,6.6
5330,MellowHigh,MellowHigh,05/11/2013,6.8
5331,M.I.A.,Matangi,05/11/2013,6.5
5332,Midlake,Antiphon,04/11/2013,6
5333,Doley Bernays,Just In Case,04/11/2013,7
5334,Swearin‰Ûª,Surfing Strange,04/11/2013,7.6
5335,The Beta Band,The Regal Years: 1997-2004,04/11/2013,8.4
5336,Cut Copy,Free Your Mind,04/11/2013,6.4
5337,Miracle,Mercury,31/10/2013,6.7
5338,Yancey Boys,Sunset Blvd.,31/10/2013,7.3
5339,Circuit Des Yeux,Overdue,31/10/2013,7.2
5340,Active Child,Rapor EP,31/10/2013,5.6
5341,The Range,Nonfiction,31/10/2013,8.2
5342,Oozing Wound,Retrash,30/10/2013,7.4
5343,Black Devil Disco Club,Black Moon White Sun,30/10/2013,4.6
5344,Matt Kivel,Double Exposure,30/10/2013,8
5345,Laurel Halo,Chance of Rain,30/10/2013,7.4
5346,The Flaming Lips,Peace Sword EP,30/10/2013,7.3
5347,Gnaw,Horrible Chamber,29/10/2013,7.4
5348,Upset,She's Gone,29/10/2013,7.2
5349,Son Lux,Lanterns,29/10/2013,6.6
5350,Los Campesinos!,No Blues,29/10/2013,8
5351,Sky Ferreira,"Night Time, My Time",29/10/2013,8.1
5352,Atlantean Kodex,The White Goddess (A Grammar Of Poetic Myth),28/10/2013,8
5353,Paavoharju,Joko sinÌ_ tulet tÌ_nne alas tai minÌ_ nousen sinne,28/10/2013,7.1
5354,Audacity,Butter Knife,28/10/2013,6
5355,Autechre,L-event EP,28/10/2013,6.4
5356,Arcade Fire,Reflektor,28/10/2013,9.2
5357,Castevet,Obsian,25/10/2013,8.1
5358,Dosh,Milk Money,25/10/2013,6.6
5359,Unwound,Kid Is Gone,25/10/2013,8
5360,Omar Souleyman,Wenu Wenu,25/10/2013,7.2
5361,Mutual Benefit,Love's Crushing Diamond,25/10/2013,8.4
5362,Doomriders,Grand Blood,24/10/2013,5.8
5363,Boardwalk,Boardwalk,24/10/2013,4.8
5364,Special Request,Soul Music,24/10/2013,8.1
5365,Kwes,ilp.,24/10/2013,6.3
5366,Ryan Hemsworth,Guilt Trips,24/10/2013,7.4
5367,Red Fang,Whales and Leeches,23/10/2013,5
5368,Daniel Avery,Drone Logic,23/10/2013,7.2
5369,Happy Jawbone Family Band,Happy Jawbone Family Band,23/10/2013,7.4
5370,Matthew E. White,Outer Face EP,23/10/2013,7.7
5371,Juana Molina,Wed 21,23/10/2013,7.3
5372,Earthless,From the Ages,22/10/2013,7.2
5373,Livity Sound,Livity Sound,22/10/2013,8.1
5374,Ducktails,Wish Hotel EP,22/10/2013,7
5375,Black Milk,"No Poison, No Paradise",22/10/2013,7.3
5376,DJ Rashad,Double Cup,22/10/2013,8.6
5377,SubRosa,More Constant Than the Gods,21/10/2013,8.3
5378,CFCF,Outside,21/10/2013,6.7
5379,Dead Gaze,Brain Holiday,21/10/2013,7.1
5380,MotÌ_rhead,Aftershock,21/10/2013,7.6
5381,Best Coast,Fade Away,21/10/2013,7.4
5382,Deco,Timescales,18/10/2013,7.3
5383,Schneider TM,Guitar Sounds,18/10/2013,6.4
5384,Pelican,Forever Becoming,18/10/2013,7.2
5385,Cass McCombs,Big Wheel and Others,18/10/2013,7.9
5386,Kelela,Cut 4 Me,18/10/2013,8.3
5387,Cave,Threace,17/10/2013,7.3
5388,School of Night,School of Night EP,17/10/2013,5.5
5389,Courtney Barnett,The Double EP: A Sea of Split Peas,17/10/2013,7.8
5390,Bonnie ‰ÛÏPrince‰Ûù Billy,"Bonnie ""Prince"" Billy",17/10/2013,7.8
5391,Four Tet,Beautiful Rewind,17/10/2013,7.4
5392,Leverage Models,Leverage Models,16/10/2013,8.2
5393,Summer Camp,Summer Camp,16/10/2013,4.8
5394,Crystal Antlers,Nothing Is Real,16/10/2013,7.1
5395,Paul McCartney,New,16/10/2013,7.8
5396,The Dismemberment Plan,Uncanney Valley,16/10/2013,4.5
5397,The Body,"Christs, Redeemers",15/10/2013,7
5398,Frog Eyes,Carey's Cold Spring,15/10/2013,6.9
5399,Hoax,Hoax,15/10/2013,8.1
5400,Pearl Jam,Lightning Bolt,15/10/2013,5
5401,Tim Hecker,Virgins,15/10/2013,8.3
5402,Bill Orcutt,A History of Every One,14/10/2013,7.8
5403,Various Artist,Red Hot + Fela,14/10/2013,6.1
5404,The Men,Campfire Songs EP,14/10/2013,6.5
5405,Dean Wareham,Emancipated Hearts EP,14/10/2013,7.8
5406,Cults,Static,14/10/2013,6.8
5407,In Solitude,Sister,11/10/2013,7.1
5408,The Dirtbombs,Ooey Gooey Chewy Ka-Blooey,11/10/2013,5.7
5409,Various Artist,Afrobeat Airways 2: Return Flight to Ghana 1974-1983,11/10/2013,8.3
5410,Of Montreal,lousy with sylvianbriar,11/10/2013,7.4
5411,Diplo,Revolution EP,11/10/2013,5.7
5412,Into It. Over It.,Intersections,10/10/2013,7.1
5413,Elf Power,Sunlight on the Moon,10/10/2013,5.5
5414,Sons of the Morning,Speak Soon Volume One,10/10/2013,6.4
5415,Lee Ranaldo and the Dust,Last Night on Earth,10/10/2013,5.5
5416,Glasser,Interiors,10/10/2013,7.8
5417,Hunters,Hunters,09/10/2013,4.9
5418,Tape Deck Mountain,Sway,09/10/2013,6
5419,Albert Hammond Jr.,AHJ EP,09/10/2013,6.8
5420,Le1f,Tree House,09/10/2013,7.7
5421,Pusha T,My Name Is My Name,09/10/2013,8
5422,Yuppies,Yuppies,08/10/2013,7.4
5423,Steve Hauschildt,S/H,08/10/2013,7.5
5424,Brendan Canning,You Gots 2 Chill,08/10/2013,6.7
5425,Alex Chilton,Electricity by Candlelight,08/10/2013,8.1
5426,Sleigh Bells,Bitter Rivals,08/10/2013,5.9
5427,Roy Harper,Man and Myth,07/10/2013,7
5428,TrentemÌüller,Lost,07/10/2013,6.4
5429,RJD2,More Is Than Isn't,07/10/2013,7.7
5430,Polvo,Siberia,07/10/2013,8.3
5431,Darkside,Psychic,07/10/2013,9
5432,Forest Fire,Screens,04/10/2013,7.3
5433,Quasi,Mole City,04/10/2013,6
5434,The Blow,The Blow,04/10/2013,7.2
5435,TouchÌ© AmorÌ©,Is Survived By,04/10/2013,8
5436,Oneohtrix Point Never,R Plus Seven,04/10/2013,8.4
5437,Kelley Stoltz,Double Exposure,03/10/2013,6.8
5438,Blitzen Trapper,VII,03/10/2013,6.7
5439,Lorde,Pure Heroine,03/10/2013,7.3
5440,Parkay Quarts,Tally All the Things That You Broke EP,03/10/2013,7.5
5441,Danny Brown,Old,03/10/2013,8.7
5442,Cuushe,Butterfly Case,02/10/2013,7
5443,Connections,Body Language,02/10/2013,7.4
5444,The Foreign Exchange,Love In Flying Colors,02/10/2013,6.5
5445,Deltron 3030,Event II,02/10/2013,5.7
5446,The Field,Cupid's Head,02/10/2013,8.7
5447,Pinkish Black,Razed to the Ground,01/10/2013,7.2
5448,Melt-Banana,fetch,01/10/2013,7.8
5449,Yuck,Glow & Behold,01/10/2013,6.1
5450,Machinedrum,Vapor City,01/10/2013,7.8
5451,Justin Timberlake,The 20/20 Experience 2 of 2,01/10/2013,4.5
5452,Youth Code,Youth Code,30/09/2013,7.2
5453,San Fermin,San Fermin,30/09/2013,7.4
5454,Dr. Dog,B-Room,30/09/2013,5.4
5455,Fuzz,Fuzz,30/09/2013,7.3
5456,Haim,Days Are Gone,30/09/2013,8.3
5457,Loss of Self,12 Minutes,27/09/2013,6
5458,Traxman,Teklife Vol 3: The Architek,27/09/2013,7.3
5459,Dustin Wong,Mediation of Ecstatic Energy,27/09/2013,6.8
5460,Au Revoir Simone,Move in Spectrums,27/09/2013,7.3
5461,Mazzy Star,Seasons of Your Day,27/09/2013,7.8
5462,Ulcerate,Vermis,26/09/2013,7.7
5463,Ghost Wave,Ages,26/09/2013,6.4
5464,Girls Against Boys,The Ghost List,26/09/2013,7
5465,Jesu,Everyday I Get Closer to the Light,26/09/2013,6.8
5466,Icona Pop,This Is‰Û_ Icona Pop,26/09/2013,7.5
5467,Windhand,Soma,25/09/2013,7
5468,Blouse,Imperium,25/09/2013,7
5469,Potty Mouth,Hell Bent,25/09/2013,7.8
5470,WHY?,Golden Tickets,25/09/2013,3
5471,Chvrches,The Bones of What You Believe,25/09/2013,8.5
5472,The Internet,Feel Good,24/09/2013,6.4
5473,Grave Miasma,Odori Sepulcrorum,24/09/2013,8
5474,Arp,More,24/09/2013,7
5475,Peter Gabriel,And I'll Scratch Yours,24/09/2013,4.9
5476,Nirvana,In Utero: 20th Anniversary Edition,24/09/2013,10
5477,Fort Romeau,Stay / True EP,23/09/2013,6.7
5478,Huerco S.,Colonial Patterns,23/09/2013,7.9
5479,Ariana Grande,Yours Truly,23/09/2013,6.5
5480,Frankie Rose,Herein Wild,23/09/2013,6.4
5481,Drake,Nothing Was the Same,23/09/2013,8.6
5482,Rashad Becker,Traditional Music of Notional Species Vol. I,20/09/2013,7.4
5483,Craig Leon,Nommos,20/09/2013,8
5484,G-Dragon,Coup d'Etat,20/09/2013,6.1
5485,Yoko Ono Plastic Ono Band,Take Me to the Land of Hell,20/09/2013,7
5486,Sebadoh,Defend Yourself,20/09/2013,6
5487,Kyson,The Water's Way,19/09/2013,6.5
5488,Carol Kleyn,Return of the Silkie,19/09/2013,7.2
5489,Mark Lanegan,Imitations,19/09/2013,6.6
5490,Elvis Costello,Wise Up Ghost,19/09/2013,6.5
5491,FKA twigs,EP2,19/09/2013,8
5492,Keep Shelly in Athens,At Home,18/09/2013,6
5493,Royal Bangs,Brass,18/09/2013,5.9
5494,The Dead C,Armed Courage,18/09/2013,8.4
5495,2 Chainz,B.O.A.T.S II: Me Time,18/09/2013,6.2
5496,Holy Ghost!,Dynamics,18/09/2013,6.3
5497,Celestial Shore,10x,17/09/2013,5.8
5498,London Grammar,If You Wait,17/09/2013,7.1
5499,Crystal Stilts,Nature Noir,17/09/2013,6.3
5500,Modern Life Is War,Fever Hunting,17/09/2013,7.9
5501,Bill Callahan,Dream River,17/09/2013,8.5
5502,LAKE,The World Is Real,16/09/2013,6.2
5503,Clark,Feast / Beast,16/09/2013,7.6
5504,Daedelus,Drown Out,16/09/2013,5.7
5505,Islands,Ski Mask,16/09/2013,6.4
5506,MGMT,MGMT,16/09/2013,6.2
5507,Jacuzzi Boys,Jacuzzi Boys,13/09/2013,5.9
5508,Balance and Composure,The Things We Think We're Missing,13/09/2013,6.6
5509,Joanna Gruesome,Weird Sister,13/09/2013,7.4
5510,Delorean,Apar,13/09/2013,7.4
5511,Factory Floor,Factory Floor,13/09/2013,8.2
5512,J-Zone,Peter Pan Syndrome,12/09/2013,7.5
5513,Jessy Lanza,Pull My Hair Back,12/09/2013,7.3
5514,The 1975,The 1975,12/09/2013,5.9
5515,Willis Earl Beal,Nobody knows.,12/09/2013,7.2
5516,Goldfrapp,Tales of Us,12/09/2013,6.1
5517,Terry Malts,Nobody Realizes This Is Nowhere,11/09/2013,6.1
5518,Carcass,Surgical Steel,11/09/2013,7.9
5519,Grooms,Infinity Caller,11/09/2013,7
5520,Lil Wayne,Dedication 5,11/09/2013,5.1
5521,Arctic Monkeys,AM,11/09/2013,8
5522,Emily Reo,Olive Juice,10/09/2013,7
5523,Elizabeth Morris,Optimism,10/09/2013,7.5
5524,Man Man,On Oni Pond,10/09/2013,6.4
5525,Body/Head,Coming Apart,10/09/2013,7.7
5526,Janelle MonÌÁe,The Electric Lady,10/09/2013,8.3
5527,The Stepkids,Troubadour,09/09/2013,7.3
5528,MÌ_m,Smilewound,09/09/2013,5.7
5529,Goodie Mob,Age Against the Machine,09/09/2013,6.8
5530,Califone,Stitches,09/09/2013,7.3
5531,The Weeknd,Kiss Land,09/09/2013,6.2
5532,Jackson and His Computerband,Glow,06/09/2013,4.2
5533,The Howling Wind,Vortex,06/09/2013,7.5
5534,Richard Youngs,Summer Through My Mind,06/09/2013,6.8
5535,Chelsea Wolfe,Pain Is Beauty,06/09/2013,8
5536,Pixies,EP-1,06/09/2013,1
5537,Pink Frost,Sundowning,05/09/2013,6.8
5538,Coachwhips,Hands on the Controls,05/09/2013,7.9
5539,Jonathan Rado,Law and Order,05/09/2013,6.2
5540,The Julie Ruin,Run Fast,05/09/2013,7
5541,Neko Case,"The Worse Things Get, the Harder I Fight...",05/09/2013,8.2
5542,Vattnet Viskar,Sky Swallower,04/09/2013,8
5543,Richard Buckner,Surrounded,04/09/2013,7.7
5544,Roky Erickson,The Evil One,04/09/2013,8.5
5545,King Khan and the Shrines,Idle No More,04/09/2013,6.8
