index,artists,albums,release_date,ratings
398,N.E.R.D.,No_One Ever Really Dies,18/12/2017,6.2
399,Tom Rogerson,Finding Shore ,18/12/2017,8
400,Rage Against the Machine,Rage Against the Machine,17/12/2017,9.1
401,Various Artist,Diggin in the Carts: A Collection of Pioneering Japanese Video Game Music,16/12/2017,7.5
402,Wyclef Jean,Wyclef Jean Inspired By...,16/12/2017,5
403,BROCKHAMPTON,Saturation III,15/12/2017,7.5
404,Fela Kuti,Fela Kuti Box Set #4 ,15/12/2017,8.5
405,Tee Grizzley,Bloodas,15/12/2017,7.4
406,Ahnnu,Special Forces,15/12/2017,7.6
407,Jim James,Tribute to 2,14/12/2017,6.2
408,Total Control,Laughing at the System EP,14/12/2017,8
409,Mike Dunn,My House From All Angles ,14/12/2017,6
410,Roy Wood$,Say Less,14/12/2017,6.3
411,Big Sean,Double or Nothing,13/12/2017,5.4
412,Statik Selektah,8,13/12/2017,5.9
413,G Perico,2 Tha Left,13/12/2017,7.7
414,Makaya McCraven,Highly Rare,13/12/2017,7.6
415,Various Artist,"Quality Control: Control the Streets, Vol. 1",12/12/2017,7.9
416,Thurston Moore,Improvisations ,12/12/2017,5.6
417,Lil Baby,Too Hard,12/12/2017,6.4
418,Palta,Universel,12/12/2017,7.3
419,Chief Keef,Dedication,11/12/2017,7.4
420,Chris Stapleton,From A Room: Volume 1,11/12/2017,7.6
421,Various Artist,Habibi Funk: An Eclectic Selection of Music From the Arab World,11/12/2017,7.6
422,Ceramic TL,Perfect Lung,11/12/2017,7.3
423,Mariah Carey,Daydream,10/12/2017,7.9
424,Visible Cloaks,Lex,09/12/2017,7.1
425,Hypnotic Brass Ensemble ,Book of Sound,09/12/2017,7
426,Belle and Sebastian,"How to Solve Our Human Problems, Pt. 1",08/12/2017,6.9
427,Pender Street Steppers,Pender Street Steppers,08/12/2017,7.2
428,K. Michelle,KIMBERLY: The People I Used to Know,08/12/2017,7
429,Loke Rahbek & Frederik Valentin,Buy Corals Online,08/12/2017,7.2
430,‰ÛÏWeird Al‰Ûù Yankovic,Squeeze Box: The Complete Works of ‰ÛÏWeird Al‰Ûù Yankovic,07/12/2017,8.2
431,Mick Jenkins,Or More; the Anxious,07/12/2017,6.7
432,Morbid Angel,Kingdoms Disdained,07/12/2017,7.3
433,PnB Rock,Catch These Vibes,07/12/2017,6.5
434,Wilco,A.M.,06/12/2017,7
435,Hopsin,No Shame,06/12/2017,3.5
436,Glassjaw,Material Control,06/12/2017,6.6
437,Nabihah Iqbal,Weighing of the Heart,06/12/2017,7.7
438,Neil Young,The Visitor,05/12/2017,6.7
439,Minnie Riperton,Perfect Angel,05/12/2017,9
440,Sia,Everyday Is Christmas,05/12/2017,5.8
441,Zaytoven,Zaytown Sorority Vol. 2,05/12/2017,6.2
442,U2,Songs of Experience,04/12/2017,5.3
443,Godflesh,Post Self,04/12/2017,8.1
444,blackbear,cybersex,04/12/2017,4.1
445,Expander,Endless Computer,04/12/2017,7.8
446,Lou Reed,Metal Machine Music,03/12/2017,8.7
447,Metallica,Master of Puppets,02/12/2017,10
448,T-Pain,Oblivion,02/12/2017,6.7
449,Fabolous, Friday on Elm Street ,02/12/2017,6
450,Krallice,LoÌ_m,02/12/2017,7.6
451,Miguel,War & Leisure,01/12/2017,8.1
452,INXS,Kick,01/12/2017,8.4
453,King Gizzard & The Lizard Wizard,Polygondwanaland,01/12/2017,7.2
454,Various Artist,Call Me By Your Name (Original Motion Picture Soundtrack),01/12/2017,7.6
455,NxWorries,Yes Lawd! Remixes,30/11/2017,7.4
456,Equiknoxx  ,ColÌ_n Man,30/11/2017,8.1
457,Prurient,Rainbow Mirror,30/11/2017,6.2
458,Lil Wop,Wopavelli 3 ,30/11/2017,6.8
459,Sufjan Stevens,The Greatest Gift,29/11/2017,7.2
460,Tove Lo,Blue Lips,29/11/2017,7.1
461,Sam Gendel,4444,29/11/2017,7
462,Terekke,Plant Age,29/11/2017,7.9
463,Noel Gallagher's High Flying Birds,Who Built the Moon?,28/11/2017,7.1
464,Mach-Hommy,Fete Des Morts AKA Dia De Los Muertos,28/11/2017,7.9
465,HARAM,"¯¬¯_ ¯±¯¬¯_¯», ¯¨¯_¯±¯» ‰ÛÏWhen You Have Won, You Have Lost‰Ûù",28/11/2017,8
466,Peter Matthew Bauer,Mount Qaf (Divine Love),28/11/2017,7
467,BjÌ_rk,Utopia,27/11/2017,8.4
468,Fits,All Belief Is Paradise,27/11/2017,7.3
469,CyHi the Prynce ,No Dope on Sundays,27/11/2017,6.8
470,OCS,Memory of a Cut Off Head,27/11/2017,6.5
471,Bronski Beat,The Age of Consent,26/11/2017,7.2
472,Talib Kweli,Radio Silence,25/11/2017,6.7
473,Sharon Jones and the Dap-Kings,Soul of a Woman,24/11/2017,8
474,The Fall,The Fall - Singles 1978-2016,22/11/2017,8.4
475,Tim Heidecker,Too Dumb For Suicide: Tim Heidecker‰Ûªs Trump Songs,22/11/2017,6.9
476,Cam'ron,The Program,22/11/2017,5.5
477,Morrissey,Low in High School,21/11/2017,5.7
478,Jaden Smith,SYRE,21/11/2017,5.1
479,Bill Brewster,Bill Brewster Presents Tribal Rites,21/11/2017,7.8
480,Qasim Naqvi,FILM,21/11/2017,7.7
481,Baths,Romaplasm,20/11/2017,7.9
482,Bitchin Bajas,Bajas Fresh,20/11/2017,8
483,Young Jesus,S/T,20/11/2017,7.8
484,Coupler,Gifts From the Ebb Tide,20/11/2017,7.1
485,Willie Nelson,Red Headed Stranger,19/11/2017,9.3
486,The 6ths,Wasps‰Ûª Nests,18/11/2017,8.5
487,Contributors,Contributors,18/11/2017,7.3
488,Posse,Horse Blanket,18/11/2017,7.6
489,Petra Glynt,This Trip,18/11/2017,7.8
490,Charlotte Gainsbourg,Rest,17/11/2017,8.7
491,Gord Downie,Introduce Yerself,17/11/2017,7.4
492,Silvia Kastel,Air Lows,17/11/2017,7
493,Caracara,Summer Megalith,17/11/2017,7.7
494,Mavis Staples,If All I Was Was Black,16/11/2017,7.6
495,The Body & Full of Hell,Ascending a Mountain of Heavy Light,16/11/2017,7.8
496,Martin Carr,New Shapes of Life,16/11/2017,7.4
497,Why Khaliq,The Mustard Seed,16/11/2017,7.8
498,Wiz Khalifa,"Laugh Now, Fly Later",15/11/2017,5.2
499,Hiroshi Yoshimura,Music for Nine Postcards,15/11/2017,8.5
500,Gun Outfit,Out of Range,15/11/2017,7.1
501,Quicksand,Interiors,15/11/2017,6.4
502,R.E.M.,Automatic for the People,14/11/2017,9.3
503,Golden Teacher,No Luscious Life,14/11/2017,6.9
504,"Slaughter Beach, Dog",Birdie,14/11/2017,6.8
505,Champion,Snapshot,14/11/2017,6.8
506,Taylor Swift,Reputation,13/11/2017,6.5
507,Kamaiyah,Before I Wake,13/11/2017,7.7
508,Lee Gamble,Mnestic Pressure,13/11/2017,7
509,Armand Hammer,ROME,13/11/2017,8.1
510,Nico,Chelsea Girl,12/11/2017,8.9
511,Yung Lean,Stranger,11/11/2017,6.8
512,U-Men,U-Men,11/11/2017,8.2
513,M.E.S.H.,Hesaitix,11/11/2017,7.6
514,Bed Wettin' Bad Boys,Rot,11/11/2017,7.3
515,Angel Olsen,Phases,10/11/2017,7.9
516,Call Super,Arpo,10/11/2017,8
