artist,album,rating
Boris The Handyman,TITLE 11,85
Boris The Handyman,TITLE 11,0
St. Vincent,MASSEDUCTION,84
King Krule,The OOZ,78
Courtney Barnett & Kurt Vile,Lotta Sea Lice,79
Beck,Colors,66
Pink,Beautiful Trauma,63
dvsn,Morning After,65
Gucci Mane,Mr. Davis,69
Robert Plant,Carry Fire,83
Wu-Tang Clan,The Saga Continues,63
The Front Bottoms,Going Grey,75
Lou The Human,Humaniac,70
Jay IDK,IWASVERYBAD,83
A. Savage,Thawing Dawn,78
Stars,There Is No Love in Fluorescent Light,72
Pale Honey,Devotion,72
The Rural Alberta Advantage,The Wild,76
Melkbelly,Nothing Valley,78
Brent Faiyaz,Sonder Son,66
The Barr Brothers,Queens of the Breakers,78
Airiel,Molten Young Lovers,70
Lapalux,The End of Industry,75
Spectral Voice,Eroded Corridors of Unbeing,90
Special Request,Belief System,70
The Luxembourg Signal,Blue Field,80
Mabel,Ivy To Roses,67
William Patrick Corgan,Ogilala,70
Iron Chic,You Can't Stay Here,87
Honey Dijon,The Best of Both Worlds,71
Tusks,Dissolve,68
Chastity,Chains,85
The Beaches,The Late Show,75
Enslaved,E,74
Phase Fatale,Redeemer,72
GEO,Salva-Vidas,67
Sean Nicholas Savage,Yummycoma,70
Fatima Al Qadiri,Shaneera,78
Rainforest Spiritual Enslavement,Ambient Black Magic,80
Knuckle Puck,Shapeshifter,80
Tzusing,Yi Shun Qian Ji ,86
Surma,Antwerpen,76
Nascuy Linares,Harmonizable,75
Daniel Cavanagh,Monochrome,79
Tech N9ne Collabos,Strange Reign,74
Lawrence Rothman,The Book of Law,60
Dan Deacon,Rat Film,60
King Khan,Murderburgers,66
Altarage,Endinghent,70
kj,Spells,70
Terra Lightfoot,New Mistakes,80
Ventre De Biche,333 Mi-homme mi-bete,75
Nana,CMG-NGM-PDE,85
Myd,All Inclusive,78
Kodaline,I Wouldn't Be,60
Satoshi & Makoto,CZ-5000 Sounds & Sequences,72
Fozzy,Judas,55
Angele David-Guillou,En Mouvement,74
Slow Dakota,Rumspringa,83
Lenka,Attune,79
Coals,Tamagotchi,71
Jon Bap,Yesterday's Homily,76
The Lillingtons,Stella Sapiente,83
Samael,Hegemony,70
The Elwins,Beauty Community,70
The Pack A.D.,Dollhouse,70
Carly Pearce,Every Little Thing,70
Roman Flugel,Fabric 95,75
Byron Westbrook,Body Consonance,77
Squeeze,The Knowledge,80
gSp,12,70
Vitor Ramil,Campos Neutrais,77
Paulo Neto,Rosario de Balas,46
Silva,Silva Canta Marisa (Ao Vivo),76
Sonnig 991,KPD Tradition,46
Mac Quayle,Mr. Robot Vol 4,65
L.A. Guns,The Missing Peace,70
The Moms,Doing Abestos We Can,68
The King Is Blind,We Are the Parasite We Are the Cancer Review,75
Suno Deko,Suno Deko,60
Oliver Francis,A Million Miles an Hour,74
Matias Aguayo & The Desdemonas,Sofarnopolis,70
Camp Lo,The Get Down Brothers,92
Luwten,Luwten,80
Alea Saxophone Quartet,Anima,60
Paupiere,A Jamais Prive de Reponses,80
Sicarius,Serenade of Slitting Throats,84
Naked Beast,Naked Beast,80
Obnox,Murder Radio,65
Meute,Tumult,80
Emily Underhill,Dissolve,75
Transplants,Take Cover,20
Boy Harsher,Country Girl,75
Dirty Heads,Swim Team,85
Marc E. Bassy,Gossip Columns,74
Great News,Wonderfault,75
Gambles,Let Us Be,75
Dead Leaf Echo,Beyond Desire,65
Save Ends,A Book About Bad Luck,74
Wretch 32,FR32,40
Hades Archer,Temple of the Impure,60
Alexis Georgopoulos & Jefre Cantu-Ledesma,Fragments of a Season,68
Moon Eyed,Haleiwa,70
Exhumed,Death Revenge,75
The Plan,Nervous Energy,75
Tessela,Hackney Parrot (10 Ton Mix) / Headland,76
Various Artists,Directed By Sacrifice,78
Nerina Pallot,Stay Lucky,80
Anouar Brahem Dave Holland Jack DeJohnette & Django Bates,Blue Maqams,80
No Warning,Torture Culture,90
Stanislav Tolkachev,Why Are You So Frightened,92
Narcotic Wasteland,Delirium Tremens,0
Grok Enrol & The Nu-Thing,All\Mix/Dup,0
Lime Cordiale,Permanent Vacation,0
The Caretaker,Everywhere at the End of Time Stages 1-3,0
The Score,Atlas,0
The Blow Monkeys,Wild River,0
Decent Criminal,Bloom,0
AraabMuzik,One of One,0
800 Gondomar,Linhas de Baixo,0
The Granite Shore,Suspended Second,0
Various Artists,Holidays Rule (Vol. 2),0
Jessie James Decker,Southern Girl City Lights,0
Mouse on Mars,Synaptics,0
Surfer Blood,Covers,0
Weird Owl,Bubblegum Brainwaves,0
Mychildren Mybride,Vicious World,40
Through the Eyes of the Dead,Disomus,50
Pepe,Lemon Fanta,64
Scattered Purgatory,Sua-Hiam-Zun,66
Stick To Your Guns,True View,70
Ecliptic Vision,Omphalos of the Void,70
Gloam,Death Is the Beginning,70
Bodyjar,Terra Firma,70
Mauno,Tuning,70
Adam Ostrar,Brawls In The Briar,74
Jeremy Enigk,Ghosts,74
Cadaveric Incubator,Sermons of the Devouring Dead,80
A.S Fanning,Second Life,80
Max Richter,Henry May Long / Black Mirror: Nosedive / Taboo,80
Findlay Napier,Glasgow,80
Travis Meadows,First Cigarette,80
Tim Buckley,Greetings From West Hollywood,80
Tim Buckley,Venice Mating Call,80
Waclaw Zimpel & Jakub Ziolek,Zimpel / Ziolek,79
AnD,Closing Trax,77
Opium Eater,Ennui,81
Bestial Invasion,Contra Omnes,65
Rainz,Sunshine,73
Low Estate,Covert Cult of Death,0
Kyle Craft,Girl Crazy,0
Raven,The Night is Dark The Night is Silent The Night is Bright The Night is Loud,80
INXS,Kick [30th Deluxe Edition],87
Small Leaks Sink Ships,Golden Calf,90
Perihelion,Orveny,80
Anavitoria,Anavitoria Canta para Pessoas Pequenas Pessoas Grandes e Nao Pessoas Tambem,77
PUNPEE,Modern Times,74
Tracy Bonham,Modern Burdens,59
Wooyoung,madaPu ha...,66
Regis,Live In N.Y.C.,76
Lee Noble,The Hell of You Come In,70
GIRLI,Hot Mess,78
NU'EST W,W Here,77
Toby Driver,Live at Roulette March 2017,90
GOT7,7 for 7,63
Night Idea,Riverless,89
TRCNG,New Generation,63
BNNT,MULTIVERSE,0
Agua Viva,Piece of Water,0
Juju & Jordash,Sis-Boom-Bah!,80
I Hate Models,State of Control EP,73
Fedder,Fedder,62
Taylor Drift,Because I'm Speeding,69
Niedergang,Atszellemules,75
Awkward Geisha,Tales from the Afterlife,100
Sunrot,Sunnata,0
Youngboy Never Broke Again,Ain't Too Long,74
WindowsShan 96,OptmizedYan Wu ,29
Tetragrammacide,Primal Incinerators of Moral Matrix,90
LAY,LAY 02 SHEEP,0
Kelela,Take Me Apart,81
Lil Pump,Lil Pump,67
Kaitlyn Aurelia Smith,The Kid,77
Poppy,Poppy.Computer,60
Liam Gallagher,As You Were,66
Wolf Parade,Cry Cry Cry,79
Marilyn Manson,Heaven Upside Down,66
The Weather Station,The Weather Station,84
Cults,Offering,73
Yumi Zouma,Willowbank,75
Blue Hawaii,Tenderness,76
Daphni,Joli Mai,75
Alex Lahey,I Love You Like a Brother,80
Weaves,Wide Open,76
Linn Da Quebrada,Pajuba,80
Citizen,As You Please,70
Primitive Man,Caustic,85
Sabrina Claudio,About Time,64
Trippie Redd,A Love Letter To You 2,59
The Darkness,Pinewood Smile,56
TOKiMONSTA,Lune Rouge,79
CunninLynguists,Rose Azura Njano,72
Andrew Bird,Echolocations: River,80
Carla dal Forno,The Garden,73
Hans Zimmer & Benjamin Wallfisch,Blade Runner 2049,91
The Black Dahlia Murder,Nightbringer,80
Kele Okereke,Fatherland,62
Deradoorian,Eternal Recurrence,68
NF,Perception,64
Gwen Stefani,You Make It Feel Like Christmas,60
Shigeto,The New Monday,70
Mister Heavenly,Boxing the Moonlight,73
Kiasmos,Blurred,80
The Church,Man Woman Life Death Infinity,85
Street Sects,Rat Jacket,75
Slow Magic,Float,73
Bea Miller,Chapter Three: Yellow,79
Antwon,Sunnyvale Gardens,71
Sound of Ceres,The Twin,55
Melanie De Biasio,Lilies,75
ORB,Naturality,50
Alessandro Cortini,AVANTI,65
Giggs,Wamp 2 Dem,75
JD McPherson,Undivided Heart & Soul,80
C. Tangana,Idolo,62
Carbon Based Lifeforms,Derelicts,76
Belly,Mumble Rap,86
Zak Abel,Only When We're Naked,74
Andrew Hung,Realisationship,51
The Rasmus,Dark Matters,66
AJ Tracey,Secure The Bag!,65
Mark Kozelek Ben Boye & Jim White,Mark Kozelek with Ben Boye and Jim White,63
Rationale,Rationale,65
Ziur,U Feel Anything?,75
Nazoranai,Beginning To Fall In Line Before Me So Decorously The Nature Of All That Must Be Transformed,79
The Mountain Goats,Marsh Witch Visions,67
Reptaliens,FM-2030,74
Moullinex,Hypersex,81
NHK yx Koyxen,Exit Entrance,77
DJ Manny,Greenlight,80
My Sad Captains,Sun Bridge,80
Mass Datura,Sentimental Meltdown,85
Spotlights,Seismic,80
Pierre Lapointe,La science du coeur,78
JP Cooper,Raised Under Grey Skies,77
Gabrielle Aplin,Avalon,93
Dj Boring,Hidden Messages,76
Ane Brun,Leave Me Breathless,82
Spirit Adrift,Curse of Conception,80
Dmitry Evgrafov,Comprehension of Light,90
Canon Blue,Lasso Yo,60
Carla Bruni,French Touch,70
The World,First World Record,70
AnD,Social Decay,74
August Burns Red,Phantom Anthem,80
Seamus Fogarty,The Curious Hand,80
Whitney Rose,Rule 62,81
Necro Deathmort,Overland,62
Miniatures,Jessamines,71
Pylon Reenactment Society,Part Time Punks Session,79
Verb T & Pitch 92,Good Evening,84
Erik Honore,Unrest,77
Jetty Bones,Old Women,78
LEON,Surround Me,86
Svarte Greiner,Apart,63
Lunatic Soul,Fractured,87
Dreadnought,A Wake in Sacred Waves,85
Linnea Olsson,Not For Show,79
Strange Ranger,Daymoon,71
Sam Feldt,Sunrise,64
BRNS,Sugar High,60
Blis.,No One Loves You,80
Pale Seas,Stargazing For Beginners,80
Como Asesinar A Felipes,Elipse,64
Elvis Presley,Christmas,40
Dhani Harrison,IN///PARALLEL,70
Mirah,Sundial,70
Bottin,I Have What I Gave,70
Samiyam,Pizza Party,70
Wild Ones,Mirror Touch,75
Gill Landry,Love Rides a Dark Horse,80
Jacob Sartorius,Left Me Hangin',45
Vanity Productions,Only The Grains Of Love Remain,77
Teme Tan,Teme Tan,68
Buyuk Ev Ablukada,FIRTINAYT,75
Nina Becker,Acrilico,53
UUUU,UUUU,70
Wooden Arms,Trick of the Light,80
Becca Mancari,Good Woman,68
Santa Cruz,Bad Blood Rising,86
Wanda,Niente,85
Fonso,Some Plays,87
a-ha,MTV Unplugged (Summer Solstice),70
Kali Masi,Wind Instrument,87
Sutekh Hexen / Hissing,Sutekh Hexen / Hissing,60
Rafael Toral,Moon Field,70
Warhaus,Warhaus,78
Bunny,Bunny,80
Simon Joyner,Step Into the Earthquake,80
Moebius Story Leidecker,Familiar,80
Neel,Calcata,82
The Replacements,For Sale: Live at Maxwell's 1986,85
Lo!,Vestigial,0
Fireball Ministry,Remember The Story,0
Isabel Lenza,Ouro,0
Linn Da Quebrada,Pajuba,0
Fantasia,Christmas After Midnight,0
The White Buffalo,Darkest Darks Lightest Lights,0
The New Faith,Me On You,0
Brzzvll,Waiho,0
Various Artists,Exploding In Sound: Live at Shea Stadium,0
Oren Ambarchi,Stacte Karaoke II,0
My Ticket Home,unReal,0
Jurg Frey,L'ame est sans retenue I,0
Caiti Baker,Zinc,0
Brooklyn Raga Massive,Terry Riley In C,0
Nurses,Naughtland,0
Naked,Total Power Exchange,0
Midnight Satori,Rah Zen,0
Isles,Fractal Beach,0
Gold/Shade,Halcyon,0
Pomme,A peu pres,0
Petit Fantome,Un mouvement pour le vent,0
Luisa Sonza,Luisa Sonza,0
Jon Boden,Afterglow,53
Elise LeGrow,Playing Chess,60
Leila Gobi,2017,60
The Mole,De La Planet,68
Jerrod Niemann,This Ride,70
Off World,2,70
Miles From Kinshasa,LIMBO,70
Monster Treasure,II,70
Holy Hum,All Of My Bodies,70
Kepla & DeForrest Brown Jr.,Absent Personae,70
Richard Thompson,Acoustic Rarities,80
Sandro Perri,Off World,80
Husky Loops,EP2,80
Battleme,Cult Psychotica,80
John Lee Hooker,King of the Boogie,90
Cheem,Downhill,90
Zaytoven,Where Would The Game Be Without Me 2,52
Daniel Saylor,Spring Rain,60
Weed Hounds,Double Life,76
Samuel Kerridge,The Silence Between Us,86
Jordan,When It's Midnight Comes,0
Pris,Faith & Honour,86
Kutmah,MASHA BEAT TAPE,76
Macaco Bong,Deixa Quieto,58
Milton Man Gogh,Stress To Impress,82
Dream Ami,Re: Dream,55
Feng Suave,Feng Suave,78
Chase Atlantic,Chase Atlantic,0
Angel 1,Terra Nova,73
Blawan,Nutrition,76
Project Pat,Trappers & Clappers,55
Patsy,LA Women,72
Mieta,Dive,80
Atalhos,Animais Feridos,0
Bones,Failure,74
RAZZ,Time Frames,70
Levon Vincent,For Paris,70
Dead Horse and the Rabbit Holes,I Miss the Other Side,0
Awkward Geisha,Mondo Cane,0
Best Girl Athlete,Best Girl Athlete,60
Len Faki,My Black Sheep (10Y Anniversary Mixes),80
Castello Branco,Sintoma,82
Mexo,Zona,86
Julianna Barwick & Rafael Anton Irisarri,THESIS 10,74
Jackie Frank Russell III,Outward Calm Inward Chaos,100
Miazma,Dressed In Black,85
The Left Outsides,There is a Place,0
Thomas Brinkmann,Retrospektiv,82
CS + Kreme,CS + Kreme,0
Phew,Voice Hardcore [Extended],0
D.K. / S.K.,D.K. / S.K.,67
Altered Natives,The Black Album,76
Peter Ablinger & Luke Moldof,Split,80
Coil,Time Machines [Reissue],90
Trepaneringsritualen,Kainskult,71
Jason Van Wyk,Opacity,96
Jeff Manson,Wild Form,65
Vanilla Poppers,Vanilla Poppers,70
Adam & Elvis,Through Snow & Small Talk,69
Protomartyr,Relatives in Descent,85
Wolf Alice,Visions of a Life,82
Miley Cyrus,Younger Now,54
Demi Lovato,Tell Me You Love Me,69
Kamasi Washington,Harmony of Difference,80
Iglooghost,Neo Wax Bloom,80
Four Tet,New Energy,77
Ibeyi,Ash,76
TORRES,Three Futures,76
Benjamin Clementine,I Tell A Fly,72
Injury Reserve,Drive It Like It's Stolen,70
The World Is a Beautiful Place and I Am No Longer Afraid to Die,Always Foreign,77
A Boogie Wit da Hoodie,The Bigger Artist,65
Shania Twain,Now,56
Ben Frost,The Centre Cannot Hold,79
Smokepurpp,DEADSTAR,61
Hurts,Desire,60
Oscar and the Wolf,Infinity,70
Brainwaltzera,Poly-Ana,83
Florist,If Blue Could Be Happiness,77
Looming,Seed,78
Primus,The Desaturating Seven,64
Jessica Lea Mayfield,Sorry Is Gone,82
Kristofer Maddigan,Cuphead Original Soundtrack,82
Klein,Tommy,74
Barns Courtney,The Attractions of Youth,72
Snapped Ankles,Come Play The Trees,70
Worriers,Survival Pop,80
Robin Schulz,Uncovered,51
Xenia Franca,Xenia,83
Propagandhi,Victory Lap,77
Chain & The Gang,Experimental Music,79
Tamar Braxton,Bluebird Of Happiness,72
Echosmith,Inside a Dream,65
Neil Finn,Out of Silence,85
Radio Moscow,New Beginnings,68
Kakkmaddafakka,Hus,70
Terror Jr,Bop City 3: The Girl Who Cried Purple,71
Hoodie Allen,The Hype,58
Kadavar,Rough Times,30
Michael Jackson,Scream,59
Grave Pleasures,Motherblood,75
Unsane,Sterilize,80
Lute,West 1996 Pt. 2,75
David Crosby,Sky Trails,71
Vessels,The Great Distraction,71
Loney Dear,Loney Dear,78
Cecile McLorin Salvant,Dreams and Daggers,89
Giulio Aldinucci,Borders and Ruins,77
Girls In Hawaii,Nocturne,71
Pearl Jam,Let's Play Two,65
David Gilmour,Live at Pompeii,70
Black Pistol Fire,Deadbeat Graffiti,70
Keep Shelly In Athens,Philokalia,80
Torii Wolf,Flow Riiot,75
Kyab Yul-Sa,Resonance d'exil (s) / Exile Vibration,78
Bad Sounds,Mixtape One,63
dd elle,de elle,60
J. Roddy Walston & The Business,Destroyers of the Soft Life,80
UFO,The Salentino Cuts,50
Tennyson,Uh Oh!,88
Masta Killa,Loyalty Is Royalty,68
Buried Realm,The Ichor Carcinoma,71
KSI,Disstracktions - EP,42
Chris Rea,Road Songs For Lovers,53
Death Bells,Standing At The Edge Of The World,65
Dolly Parton,I Believe in You,47
DJ Harvey,Volume 1 - The Sound Of Mercury Rising,68
BETSY,Betsy,70
Lone,DJ-Kicks,74
Monolord,Rust,77
Qasim Naqvi,FILM,77
Rittz,Last Call,78
Zara McFarlane,Arise,83
David Bowie,A New Career in a New Town [1977 - 1982],89
Tangerine Dream,Quantum Gate,90
Jag Panzer,The Deviant Chord,60
Hannah Lurry,This Heart of Mine,100
36 Crazyfists,Lanterns,63
Cina Polada,Cina Polada,50
Courtship Ritual,Chary,50
G Perico Jay Worthy & Cardo,G-Worthy,80
Jamie Lawson,Happy Accidents,70
Curren$y & Lex Luger,The Motivational Speech EP,60
Binary Digit,Acid Drop,53
Acid Baby Jesus,Lilac Days,68
Kublai Khan,Nomad,80
Cody Simpson,Wave One,70
Dream Wife,Fire,75
Philip Glass,Jane,60
Chante Moore,The Rise of the Phoenix,86
Echoplex,The Solar Experience,84
Lucinda Williams,This Sweet Old World,88
Elena Temnikova,TEMNIKOVA II,80
Ms. Mohammed,Alibi,85
The Last Skeptik,This Is Where It Gets Good,100
Larkin Poe,Peach,80
Min King,Immer Wieder,75
Lost Bayou Ramblers,KALENDA,70
Grey,Chameleon,76
OTHERKIN,OK,75
Racquet Club,Racquet Club,83
Nervous Dater,Don't Be A Stranger,76
Adam Holmes & The Embers,Midnight Milk,60
Stephen McLaren,We Used to Go Raving,60
Belinda Carlisle,Wilder Shores,60
Andrew Weatherall,Qualia,60
Sieren,Ascension,66
Nick Nicely,Sleep Safari,70
Pere Ubu,20 Years In A Montana Missile Silo,75
Eugene Capper & Rhodri Brooks,Pontvane,80
K-Lone,Old Fashioned,82
B R I Q U E V I L L E,II,0
Gunplay,Haram,0
Celeste,Infidele(s),0
Tangerine Dream,The Sessions I,0
Awaken I Am,Blind Love,0
HKE,Modern Esoteric,0
Versing,Nirvana,0
Brix & The Extricated,Part 2,0
Bette Smith,Jetlagger,0
Trampolene,Swansea To Hornsey,0
Fever Dream,Squid,0
Nicole Mitchell,Liberation Narratives,0
Ojard,Euphonie,0
Simian Ghost,Simian Ghost,0
Discreation,End Of Days,0
Dave Chappelle,Double Feature: The Age of Spin/Deep In the Heart of Texas,0
White Mana,Bleeding Eyes,0
The Hoosiers,Trick To Life (10th Anniversary Edition),0
Revolver,Tu noche y la mia: Coleccion Definitiva,0
The Village Callers,Live [Reissue],40
Blancmange,Unfurnished Rooms,60
Keyon Harrold,The Mugician,60
God Mother,Vilseledd,64
Mark Guiliana Jazz Quartet,Jersey,65
IDYLLS,The Barn,70
Wild Billy Childish & CTMF,Brand New Cage,70
Memnon Sa,Lemurian Dawn,70
Johanna Glaza,Wind Sculptures,70
Sully,Escape,74
The Caleb Willitz Band,HOME,76
Luke Haines,Luke Haines is Alive and Well and Living in Buenos Airies,77
White Wine,Killer Brilliance,80
Twin Seas,Twin Seas,80
The Kandinsky Effect,Pax 6,80
Jeremy Tuplin,I Dreamt I Was An Astronaut,80
Marybeth D'Amico,Great and Solemn Wild,85
Pentangle,The Albums: 1968-1972,87
Scanner,The Great Crater,90
Matt Mitchell,A Pouting Grimace,90
The Caretaker,Everywhere at the End of Time - Stage 3,78
PARTYNEXTDOOR,Seven Days,70
Leyland Kirby,We So Tired of All the Darkness in Our Lives,79
Winston Surfshirt,Sponge Cake,75
Gerry Cinnamon,Erratic Cinematic,21
Chevy Woods,Exactly What They Want,50
Aleksi Perala,Simulation,64
The Darts,Me . Ow.,0
Robb Bank$,Cloverfield 2.0,0
SCARLXRD,Lxrdszn,64
Angus Powell,Before the Grey,72
Coil,Another Brown World / Baby Food,75
Hardfloor,The Business Of Basslines,58
Seiko Oomori,MUTEKI,95
Galneryus,Ultimate Sacrifice,75
Marujos,Marambaia,70
Seth Gilliam,Milquetoast millennial,95
Jasper Byrne,Clouds,74
City,A Goal Is an Image,77
Bolbbalgan4,Red Diary Page. 1,63
The Cravats,Dustbin Of Sound,0
Forest Swords,Congregate / Free,0
Various Artists,Josie and the Pussycats,75
Tim Bernardes,Recomecar,74
Eliminadorzinho,Aniquiladorzinho,70
UnoTheActivist,Live.Shyne.Die,61
Irreversible Entanglements,Irreversible Entanglements,81
Delicate Steve,Cowboy Stories,65
24hrs,12 AM In Atlanta,25
Linadrena,Debordement,88
David Bowie,Live in Berlin (1978) E.P.,80
Royal Pirates,Hasta la Vista,67
Patricia,Autotomy,81
COCAINEJESUS,Nervous,80
Jelani Sei,LVNDR TWN,0
The Gaming Chicos,Gaming Chicos Album,0
Why Don't We,Invitation,0
DJ Python,Dulce Compania,78
Agackakan,A Naskvit,80
Pencey Sloe,Pencey Sloe,93
Various Artists,Klockworks 20,70
Galcher Lustwerk,Dark Bliss,75
A Blue Flame,When Your Whole World Turns To Dust,80
King Los,I Am Not An Industry Plant,0
Guy Andrews,Take,75
Dego & Kaidi,A So We Gwarn,74
Moses Sumney,Aromanticism,80
The Horrors,V,82
Chelsea Wolfe,Hiss Spun,79
Godspeed You! Black Emperor,Luciferian Towers,76
The Killers,Wonderful Wonderful,66
Phoebe Bridgers,Stranger in the Alps,81
Rapsody,Laila's Wisdom,84
Fergie,Double Dutchess,53
Macklemore,GEMINI,57
METZ,Strange Peace,77
Young Thug & Carnage,Young Martha,71
Hiss Golden Messenger,Hallelujah Anyhow,79
Cut Copy,Haiku From Zero,67
The Clientele,Music for the Age of Miracles,81
Jhene Aiko,Trip,67
Omni,Multi-Task,75
Enter Shikari,The Spark,68
Lights,Skin&Earth;,90
Mastodon,Cold Dark Place,70
Tricky,ununiform,64
Linda Perhacs,I'm a Harmony,75
Wand,Plum,77
Wolves in the Throne Room,Thrice Woven,76
Counterparts,You're Not You Anymore,87
Jordan Rakei,Wallflower,73
The Neighbourhood,Hard,62
Knox Fortune,Paradise,67
G Herbo,Humble Beast,77
Balmorhea,Clear Language,70
Circa Survive,The Amulet,77
IU,ggocgalpi dul Kkot-Galpi #2: A Flower Bookmark,80
Hannah Peel,Mary Casio: Journey to Cassiopeia,78
Shilpa Ray,Door Girl,82
Shout Out Louds,Ease My Mind,69
Shannon Lay,Living Water,78
Lecrae,All Things Work Together,81
Archspire,Relentless Mutation,76
Satyricon,Deep Calleth Upon Deep,70
Amadou & Mariam,La Confusion,73
Apathy & O.C.,Perestroika,80
From The Mouth of The Sun,Hymn Binding,70
Lina Tullgren,Won,70
Kolsch,1989,70
Eric Copeland,Goofballs,70
Van Morrison,Roll With the Punches,71
The Lemon Twigs,Brothers of Destruction,75
Steffi,World Of The Waking State,82
Kauan,Kaiho,90
Monarch,Never Forever,69
Emily Yacina,Heart Sky,73
The Movielife,Cities In Search of a Heart,69
Cold Specks,Fool's Paradise,67
UFOmammut ,8,78
Machine Girl,...BECAUSE I'M YOUNG ARROGANT AND HATE EVERYTHING YOU STAND FOR,80
Josh Ritter,Gathering,87
Matt Cameron,Cavedweller,65
Sapphire Slows,Time,63
Valparaiso,Broken Homeland,78
Cory Wong,Cory Wong and the Green Screen Band,83
Noah Gundersen,WHITE NOISE,65
Luna,A Sentimental Education,70
Cristobal & The Sea,Exitoca,70
Cradle of Filth,Cryptoriana - The Seductiveness of Decay,73
Jabu,Sleep Heavy,76
The Souljazz Orchestra,Under Burning Skies,80
Billy Strings,Turmoil & Tinfoil,80
Beliefs,Habitat,80
Annabel (lee),The Cleansing,90
Black Country Communion,BCCIV,80
Nolan The Ninja,YEN,71
When The Sun Hits,Immersed Within Your Eyes,83
Illenium,Awake,72
Kygo,Stargazing,45
Raphael,Anticyclone,68
Wwwater,LA FALAISE,76
Duds,Of A Nature or Degree,80
Seth Gilliam,Milquetoast Millennial,94
Sleeping with Sirens,Gossip,53
Eef Barzelay,The Sinking in of Things,81
The Blow,Brand New Abyss,66
Jon Langford,Four Lost Souls,70
IAMX,Unfall,75
Midland,Fabriclive 94,76
Caracara,Summer Megalith,77
Coucou Chloe,Erika Jane,80
Midland,On the Rocks,85
Process Of Guilt,Black Earth,50
Fayrouz,Bebalee,70
Kmyle,Northern Landscapes,65
Gentrificators,Apt Kids,70
Martial Canterel,Lost at Sea,50
Danny Watts,Black Boy Meets World,86
Cuz Lightyear,WHAT UP CUZ,60
The Chasm,A Conscious Creation From the Isolated Domain: Phase I,54
Luke Arvid,Greenmoth,85
Anais,Divergente,86
Ranges,The Ascensionist,80
Arallu,Six,79
Noa Wildschut,Sonata K454 / Violin Concerto No.5 / Adagio K261,50
Benjamin Siksou,Au Chant Du Coq,73
Memory Drawings,The Nearest Exit,94
Kari Faux,Primary,69
Maryam Saleh Maurice Louca & Tamer Abu Ghazaleh,Lekhfa,77
Ghemon,Mezzanotte,80
Holiday Ghosts,Holiday Ghosts,76
Brian Wilson,Playback : The Brian Wilson Anthology,64
Giovanni Succi,Con Ghiaccio,70
With the Dead,Love from With the Dead,64
Stills & Collins,Everybody Knows,64
Luna,A Place of Greater Safety,64
The Bronx,(V),67
Laraaji,Bring On The Sun,68
Ledisi,Let Love Rule,70
Marc Almond,Shadows and Reflections,70
Marius,Existence Problem,71
Prawn,Run,75
Jaws of Love.,Tasha Sits Close to the Piano,76
Ka Baird,Sapropelic Pycnic,79
Acetone,1992-2001,79
The Flying Eyes,Burning the Season,80
Sunny & The Sunliners,Mr. Brown Eyed Soul,80
MC Almond Milk,Full Day Cool Times,80
Central Processing Unit,Remixes,80
Ummagma,LCD,80
Black Hat,Impossible World,80
Haley Reinhart,What's That Sound?,0
John Zorn,The Interpretation of Dreams,0
Dr. Dre,In Effect: The Roadium Swap Meet Mixes,0
Dr. Dre,Dope Beat: The Roadium Swap Meet Mixes,0
DJ Kay Slay,The Big Brother,0
Wolfman,Sun Sun,0
Jillian Jacqueline,Side A,0
British India,Forgetting The Future,0
Brad Peterson,The Ellipsis Album,0
John Foxx & The Maths,The Machine,0
Leon Russell,On A Distant Shore,0
Flamin' Groovies,Fantastic Plastic,0
The Du-Rites,Greasy Listening,0
Danish String Quartet,Last Leaf,0
H.E.A.T,Into the Great Unknown,0
Walker Lukens,Tell It to the Judge,0
Peter Stampfel And The Atomic Meta-Pagans,The Cambrian Explosion,0
Light Beams,Light Beams,0
Mattiel,Mattiel,0
Sons Of Texas,Forged by Fortitude,40
Gordon Raphael,Sleep On The Radio,65
John Barera & Will Martin,Proceed To The Root,66
Vacivus,Temple of the Abyss,68
Ancient Ocean,Titan's Island,70
Clint Mansell,Loving Vincent,70
Behind The Shadow Drops,H a r m o n i c,70
Chris Hillman,Bidin' My Time,70
Acephalix,Decreation,71
Reverend and the Makers,Death of a King,73
The Rolling Stones,Their Satanic Majesties Request [50th Anniversary],75
Eilen Jewell,Down Hearted Blues,79
Sufferer,Sufferer,90
Kevin Gates,By Any Means 2,68
LOONA Odd Eye Circle,Mix & Match,86
Lio Fumacarne,Radio B,73
Alex Wiley,Synthia Part 1: Dial Tone,46
Climax Landers,Climax Landers,75
The Alchemist,Paris L.A. Brussels,0
Thoom,Blood and Sand,80
Vulto Violeta,Olhos Fixos,90
Vaiteani,Vaiteani,60
I Tpame I Tvrame,Altered EP,88
April,Eternity,68
Severed Heads,Come Visit The Big Bigot (Deluxe Edition),80
Hijokaidan,Destroy Noise Symphony,0
Jelani Blackman,05-Aug,0
Mindkult,Lucifer's Dream,0
John Wiese,Escaped Language,60
Expander,Endless Computer,78
Solah,DAHLIA 998,78
Joda Clement,Time + Place,0
Sold,B.U.T.W. 79,0
BTS,Love Yourself Cheng  Her,65
Juicy J,Highly Intoxicated,68
Saian & Kost,Otonom Piyade: Hal ve Gidis Sifir,65
Drouth,Knives Labyrinths Mirrors,80
