artist,album,rating
Barbara Barth & Manuel Krass,In Spheres,85
The Longshot,The Longshot EP,80
DJ Sprinkles,Deproduction EP 1,0
Cordel Do Fogo Encantado,Viagem ao Coracao do Sol,0
Dingo Bells,Todo Mundo Vai Mudar,76
Bicep,Rain,73
Haru Nemuri,Haru to Shura,80
Christian Fitness,Nuance - The musical,80
Fate Gear,7 Years Ago,0
ORESAMA,Hi-Fi POPS,0
Goose House,Flight,0
Sinoptik,Fields On Fire,75
No Vacation,No Vacation on Audiotree Live,80
EXO-CBX,Blooming Days,47
NERVE,AUTO-SABOTAGEM,80
Simon Cummings,Jian  (ma),0
Twice,What is Love?,61
Hunee,Hunchin' All Night,88
Kim Oki,Public Domain For Me,80
Slimesito,Scarface Sito,51
Various Artists,I Only Listen to the Mountain Goats: All Hail West Texas,75
Paul Hares,Concentration,0
Surrenderdorothy,breathingexercise,56
Kali Uchis,Isolation,85
Cardi B,Invasion of Privacy,81
Unknown Mortal Orchestra,Sex & Food,73
Hop Along,Bark Your Head Off Dog,80
Flatbush Zombies,Vacation in Hell,74
Lil Xan,TOTAL XANARCHY,50
Wye Oak,The Louder I Call The Faster It Runs,80
30 Seconds To Mars,AMERICA,60
Hinds,I Don't Run,77
Kylie Minogue,Golden,63
Daniel Avery,Song For Alpha,81
Famous Dex,Dex Meets Dexter,60
The Wonder Years,Sister Cities,81
Goat Girl,Goat Girl,76
Eels,The Deconstruction,67
The Aces,When My Heart Felt Volcanic,70
Young Galaxy,Down Time,90
Dr. Octagon,Moosebumps: An Exploration Into Modern Day Horripilation,70
Tom Misch,Geography,68
GUM,The Underdog,75
Ross from Friends,Aphelion,76
Alina Baraz,The Color of You,71
Zola Jesus,Okovi: Additions,72
Alison Wonderland,Awake,56
Rainbow Kitten Surprise,How To: Friend Love Freefall,70
Air Waves,Warrior,75
MIEN,MIEN,76
Panopticon,The Scars of Man on the Once Nameless Wilderness Part I and II,77
BAMBARA,Shadow on Everything,80
Mastersystem,Dance Music,80
City Calm Down,Echoes In Blue,71
Paul De Jong,You Fucken Sucker,63
Sloan,12,77
The Amazing,In Transit,80
Kississippi,Sunset Blush,69
Makeness,Loud Patterns,70
Fenne Lily,On Hold,64
Lowell,Lone Wolf,80
Hey Ocean!,The Hurt of Happiness,74
ISLAND,Feels Like Air,75
Nonpareils,Scented Pictures,60
Project Pablo,There's Always More at the Store,74
Gin Wigmore,Ivory,78
Underoath,Erase Me,77
Sarah Shook & The Disarmers,Years,81
ODIE,Analogue,70
Mind Over Mirrors,Bellowing Sun,80
Various Artists,Revamp: The Songs of Elton John & Bernie Taupin,58
Joey Pecoraro,Music For Happiness,76
Christina Vantzou,No. 4,80
Wallows,Spring,70
Look Vibrant,The Up Here Place,70
Kwes,Songs For Midi,76
Triptides,Visitors,80
Francoise Hardy,Personne d'autre,68
Cosmo Sheldrake,The Much Much How How and I,80
Rafiq Bhatia,Breaking English,75
